
"((-49.2696903, -25.5237699), (-49.2701115, -25.5232392))",tertiary,road
"((-51.4772022, -24.7901875), (-51.4768052, -24.7901534))",unclassified,road
"((-49.3260571, -25.6771004), (-49.3262574, -25.6776069))",service,road
"((-50.6220616, -25.2582228), (-50.6217733, -25.2583077))",unclassified,road
"((-71.5390147, -13.6282527), (-71.5392217, -13.6285513))",unclassified,road
"((-49.1823685, -25.4333837), (-49.1830133, -25.4333183))",primary,road
"((-68.1523366, -16.5843524), (-68.15151, -16.586952))",secondary,road
"((-75.1774076, -8.490388), (-75.1773191, -8.4902765))",unclassified,road
"((-78.588181, -0.5274932), (-78.58835, -0.5276032))",unclassified,road
"((-46.9280313, -23.2041059), (-46.9281443, -23.2042493))",service,road
"((-45.5293408, -23.0044078), (-45.5295128, -23.0039117))",tertiary,road
"((-74.8835742, -14.3945589), (-74.8838237, -14.3945174))",unclassified,road
"((-49.272906, -25.4481068), (-49.2733363, -25.4482786))",service,road
"((-79.9777621, -1.8404838), (-79.9777435, -1.8404302))",service,road
"((-46.7129546, -23.6597441), (-46.7129438, -23.6597195))",service,road
"((-78.9327941, -8.2713502), (-78.932767, -8.2715822))",service,road
"((-47.4735344, -23.4806508), (-47.4737738, -23.4802702))",secondary,road
"((-69.9353309, -4.2082152), (-69.9353605, -4.2082033))",service,road
"((-47.1393775, -22.7321069), (-47.1394808, -22.7320958))",service,road
"((-51.9561428, -25.2162739), (-51.9563949, -25.215711))",unclassified,road
"((-48.6864324, -26.6483833), (-48.6864375, -26.6487688))",service,road
"((-47.1451711, -23.6954642), (-47.1451315, -23.6954414))",unclassified,road
"((-56.3813531, -14.3805565), (-56.3811264, -14.3810067))",service,road
"((-47.4641253, -23.4958624), (-47.4641706, -23.4957994))",tertiary,road
"((-46.1467476, -23.2737843), (-46.1468254, -23.2739124))",unclassified,road
"((-74.3602431, -13.5788509), (-74.360054, -13.5789708))",primary,road
"((-50.8669996, -21.6972038), (-50.8674123, -21.697226))",secondary,road
"((-47.1037748, -22.8287299), (-47.1029887, -22.8283451))",service,road
"((-77.068061, -11.9356196), (-77.0681448, -11.935103))",secondary,road
"((-59.7714711, -18.3461502), (-59.7714892, -18.3465869))",service,road
"((-65.8153091, -17.3816484), (-65.8151498, -17.3815497))",unclassified,road
"((-65.2921798, -18.9889131), (-65.2918821, -18.9893127))",tertiary,road
"((-63.1562362, -17.764454), (-63.1559547, -17.7648653))",service,road
"((-78.4932227, -0.191771), (-78.4932074, -0.1917348))",primary,road
"((-46.9951403, -22.9752367), (-46.9945325, -22.9756998))",secondary,road
"((-47.3122953, -22.7935622), (-47.3122775, -22.7935504))",secondary,road
"((-77.044099, -11.9306203), (-77.0439288, -11.9302741))",tertiary,road
"((-78.7129641, -1.0244312), (-78.7131465, -1.0245734))",unclassified,road
"((-78.5943105, -0.907389), (-78.5943356, -0.9071986))",unclassified,road
"((-52.810383, -23.8938042), (-52.8105494, -23.8937474))",unclassified,road
"((-65.9620034, -17.5327833), (-65.9619434, -17.5327771))",primary,road
"((-75.0117497, -9.8652865), (-75.0117575, -9.8653418))",unclassified,road
"((-74.580946, -12.0483023), (-74.5808253, -12.0484243))",tertiary,road
geometry,class,subtype
"((-41.4016851, -8.6947923), (-41.4015939, -8.6948559))",service,road
"((-43.0105291, -22.838481), (-43.0105177, -22.8386308))",service,road
"((-47.151484, -18.9856902), (-47.1514842, -18.9856667))",unclassified,road
"((-43.5131308, -19.7578637), (-43.5133964, -19.7580669))",unclassified,road
"((-46.9877982, -20.9173898), (-46.9873417, -20.9175094))",tertiary,road
"((-49.4624327, -15.5804188), (-49.4623034, -15.5800493))",unclassified,road
"((-60.015922, -3.0704968), (-60.0159723, -3.07063))",secondary,road
"((-55.5137772, -12.0231394), (-55.5138075, -12.0244934))",service,road
"((-54.3101461, -15.5592774), (-54.3101627, -15.5591844))",tertiary,road
"((-49.5730513, -20.8557364), (-49.5732911, -20.8556693))",secondary,road
"((-44.228266, -21.1114975), (-44.2285747, -21.112043))",tertiary,road
"((-45.8141552, -22.3673179), (-45.8143034, -22.367734))",tertiary,road
"((-41.0557956, -18.7963372), (-41.055758, -18.7962242))",unclassified,road
"((-44.2877823, -12.0558305), (-44.2874604, -12.0552823))",unclassified,road
"((-48.2705116, -18.8743652), (-48.2703868, -18.8744513))",tertiary,road
"((-47.9505487, -21.6175465), (-47.9505744, -21.617507))",tertiary,road
"((-38.4754451, -12.8817102), (-38.4763498, -12.882809))",secondary,road
"((-48.05208, -18.60572), (-48.052, -18.60563))",motorway,road
"((-56.7646998, -2.6742303), (-56.7658265, -2.6726217))",tertiary,road
"((-40.1602695, -10.7753742), (-40.1605296, -10.7773448))",unclassified,road
"((-50.055791, -21.5283287), (-50.0562751, -21.5281927))",unclassified,road
"((-48.4367839, -1.3522369), (-48.4367146, -1.352063))",secondary,road
"((-40.2492942, -10.8109114), (-40.2492003, -10.8107968))",unclassified,road
"((-42.6944161, -12.7997411), (-42.6937884, -12.8000811))",unclassified,road
"((-47.7883117, -21.1154661), (-47.7881049, -21.115917))",tertiary,road
"((-50.2107026, -21.0960787), (-50.2107885, -21.0960925))",secondary,road
"((-49.2868514, -16.647533), (-49.2865493, -16.6469808))",service,road
"((-47.9442487, -15.9323878), (-47.9443538, -15.9322537))",secondary,road
"((-49.715243, -18.2539339), (-49.7055334, -18.2448604))",unclassified,road
"((-38.9575933, -16.1456644), (-38.958017, -16.1447987))",unclassified,road
"((-50.3061669, -12.8222831), (-50.3053149, -12.8212861))",unclassified,road
"((-49.1039965, -15.2137632), (-49.1040716, -15.2137607))",unclassified,road
"((-38.4564494, -12.9470017), (-38.4561359, -12.9467564))",service,road
"((-47.9546361, -15.8350283), (-47.9546552, -15.8350234))",service,road
"((-42.4605189, -14.4733506), (-42.4605666, -14.4732156))",tertiary,road
"((-40.9020017, -10.0355886), (-40.9018005, -10.0354018))",unclassified,road
"((-45.2352264, -19.3215517), (-45.2352301, -19.3214135))",primary,road
"((-48.490507, -20.92056), (-48.4905305, -20.9207835))",tertiary,road
"((-43.5119198, -21.3570938), (-43.5118809, -21.3578732))",unclassified,road
"((-41.1890352, -8.744558), (-41.1893338, -8.7445468))",unclassified,road
"((-41.6146284, -17.8165059), (-41.6144259, -17.8163654))",unclassified,road
"((-44.9180719, -20.0755095), (-44.9177594, -20.0757803))",tertiary,road
"((-41.5455203, -17.9834115), (-41.5452632, -17.9837079))",unclassified,road
"((-42.9226949, -22.7666507), (-42.9223984, -22.7660408))",tertiary,road
"((-47.4438089, -10.9220723), (-47.443766, -10.9226925))",secondary,road
"((-44.9655604, -21.7725064), (-44.965492, -21.7721427))",unclassified,road
"((-49.3817038, -16.7256591), (-49.3813363, -16.7262083))",tertiary,road
"((-45.0024867, -21.2504598), (-45.0021172, -21.2498395))",secondary,road
"((-48.1203066, -15.89407), (-48.1208495, -15.8943272))",tertiary,road
"((-45.6357868, -19.7517219), (-45.6357278, -19.7515679))",tertiary,road
"((-48.0924243, -15.8273396), (-48.0924685, -15.8272285))",secondary,road
"((-45.5772301, -21.6260994), (-45.5774487, -21.6258925))",tertiary,road
"((-43.8787025, -22.6831566), (-43.8786918, -22.6834108))",unclassified,road
"((-49.5862006, -21.0945566), (-49.5861483, -21.0945522))",unclassified,road
"((-56.1247435, -15.6385052), (-56.1247234, -15.6384303))",service,road
"((-47.4588963, -6.5821246), (-47.4588186, -6.5820087))",service,road
"((-49.2588034, -16.7987856), (-49.2588041, -16.7988318))",service,road
"((-39.3149437, -14.3134672), (-39.3149265, -14.3130979))",tertiary,road
"((-48.26856, -21.6168125), (-48.2685211, -21.6168786))",service,road
"((-41.9074831, -16.7440582), (-41.9071991, -16.7438695))",service,road
"((-55.7929971, -5.5983604), (-55.7928413, -5.5989662))",unclassified,road
"((-44.1531448, -16.237822), (-44.1527157, -16.2378258))",unclassified,road
"((-55.4966259, -11.857453), (-55.4966918, -11.8574314))",secondary,road
"((-43.9755709, -19.875561), (-43.9754947, -19.87563))",service,road
"((-43.6782865, -19.2659775), (-43.6781323, -19.2659268))",unclassified,road
"((-43.9139716, -19.7834133), (-43.9140145, -19.7835086))",service,road
"((-43.4005655, -16.7325931), (-43.4005039, -16.7325592))",unclassified,road
"((-45.8114081, -21.640918), (-45.8113897, -21.6409432))",unclassified,road
"((-48.2247213, -18.9322667), (-48.2240503, -18.9324438))",tertiary,road
"((-46.9915272, -22.417379), (-46.9913983, -22.4172121))",unclassified,road
"((-41.4983028, -8.9115218), (-41.4981457, -8.9116008))",unclassified,road
"((-40.2823491, -8.0617423), (-40.2823321, -8.0618048))",unclassified,road
"((-39.2754243, -12.9083942), (-39.2753211, -12.908219))",tertiary,road
"((-46.4939623, -8.0440917), (-46.4936256, -8.0440599))",unclassified,road
"((-48.2781632, -18.8901481), (-48.278161, -18.8899848))",tertiary,road
"((-55.8276084, -9.9722637), (-55.8259346, -9.9717307))",tertiary,road
"((-50.61964, -21.6159419), (-50.6184907, -21.6152372))",secondary,road
"((-43.8620436, -19.3224255), (-43.8620862, -19.3222098))",unclassified,road
"((-48.2616037, -18.9078178), (-48.2614774, -18.9072412))",primary,road
"((-48.3604123, -9.7063822), (-48.360484, -9.7063333))",unclassified,road
"((-44.0584199, -19.1050093), (-44.0585795, -19.1049231))",unclassified,road
"((-42.2635986, -9.6575464), (-42.2635642, -9.6581659))",unclassified,road
"((-47.1133527, -17.7527496), (-47.113344, -17.7527927))",unclassified,road
"((-41.9338314, -17.5279306), (-41.9339025, -17.5278564))",unclassified,road
"((-49.7606353, -20.9245683), (-49.7603095, -20.9241023))",unclassified,road
"((-39.1825439, -12.5893426), (-39.1825789, -12.5893253))",secondary,road
"((-46.3505834, -13.3917322), (-46.3507658, -13.3919827))",unclassified,road
"((-48.2996596, -10.1841283), (-48.2997258, -10.184091))",secondary,road
"((-40.4085833, -20.3324246), (-40.4091034, -20.3328229))",service,road
"((-46.9687597, -22.4347057), (-46.9681782, -22.4346908))",tertiary,road
"((-47.1883553, -15.3149955), (-47.1885029, -15.3151973))",unclassified,road
"((-55.9177767, -13.0963707), (-55.9188251, -13.0973827))",secondary,road
"((-40.5670537, -9.410193), (-40.566978, -9.4106195))",tertiary,road
"((-40.1836216, -18.7228644), (-40.1847093, -18.723168))",primary,road
"((-41.6413504, -9.0169132), (-41.6412616, -9.0168513))",unclassified,road
"((-40.5107124, -7.5002323), (-40.5106657, -7.5000471))",unclassified,road
"((-52.1551873, -14.0505401), (-52.1553143, -14.0506021))",secondary,road
"((-44.7330615, -22.2062788), (-44.7331381, -22.2062945))",unclassified,road
"((-56.1077128, -5.1256215), (-56.1006449, -5.1198936))",unclassified,road
"((-49.0269479, -7.1336037), (-49.027184, -7.133929))",tertiary,road
"((-45.9639665, -22.0908324), (-45.9637734, -22.0907927))",service,road
"((-50.330689, -21.259748), (-50.3306698, -21.2598033))",secondary,road
"((-40.9336845, -8.8392284), (-40.9336467, -8.8390814))",unclassified,road
"((-41.8190512, -22.3859579), (-41.8185571, -22.3864259))",unclassified,road
"((-40.2767259, -7.2024969), (-40.2765649, -7.2022149))",unclassified,road
"((-49.0420417, -22.3032527), (-49.0420631, -22.3033395))",secondary,road
"((-43.124439, -9.2280835), (-43.1245499, -9.2284911))",tertiary,road
"((-44.2653153, -6.0398749), (-44.2656621, -6.0410998))",unclassified,road
"((-45.060014, -11.0415367), (-45.0586354, -11.0412838))",tertiary,road
"((-43.926039, -19.6859589), (-43.92623, -19.6861115))",service,road
"((-45.2099634, -19.6097001), (-45.2112448, -19.6103493))",unclassified,road
"((-45.7861854, -11.3073067), (-45.7858304, -11.3083874))",unclassified,road
"((-46.8124263, -16.5190069), (-46.8118201, -16.5196498))",unclassified,road
"((-45.8790913, -20.7826425), (-45.8794534, -20.7825773))",secondary,road
"((-47.6931363, -4.8323436), (-47.6923344, -4.8323436))",unclassified,road
"((-42.4710759, -14.6520563), (-42.4709277, -14.6519187))",secondary,road
"((-43.8002774, -20.5217618), (-43.8001815, -20.5218221))",unclassified,road
"((-39.9112445, -7.9612351), (-39.9112367, -7.9612206))",tertiary,road
"((-41.5965014, -18.3572498), (-41.596335, -18.3577068))",secondary,road
"((-49.5706519, -21.180049), (-49.5706357, -21.1801138))",secondary,road
"((-60.1575883, -3.1738603), (-60.1569834, -3.1738576))",unclassified,road
"((-40.2535622, -20.19466), (-40.2535062, -20.1946621))",secondary,road
"((-42.226949, -14.4707679), (-42.2268721, -14.4715414))",unclassified,road
"((-44.3145105, -20.2146671), (-44.3144837, -20.2147766))",secondary,road
"((-48.3492288, -21.6429953), (-48.349219, -21.643059))",secondary,road
"((-39.7470133, -17.5959248), (-39.7471219, -17.5958557))",unclassified,road
"((-40.2309143, -9.2570258), (-40.2313435, -9.2568882))",unclassified,road
"((-43.6825137, -20.307958), (-43.6826304, -20.3079165))",tertiary,road
"((-43.6910042, -21.996054), (-43.6910069, -21.99611))",unclassified,road
"((-40.2588794, -12.3909507), (-40.2589173, -12.3909186))",unclassified,road
"((-43.9636154, -19.9484413), (-43.963776, -19.9484341))",service,road
"((-46.2231651, -21.9073795), (-46.2230149, -21.906735))",unclassified,road
"((-42.3132797, -14.6168045), (-42.3132797, -14.6171727))",tertiary,road
"((-49.4018654, -20.7452207), (-49.4020579, -20.7451198))",tertiary,road
"((-47.9759981, -15.8621051), (-47.9762891, -15.8618059))",tertiary,road
"((-46.5499011, -21.3331058), (-46.5501036, -21.3330677))",unclassified,road
"((-47.8112217, -21.2447691), (-47.8112191, -21.2446535))",service,road
"((-42.871985, -22.3334137), (-42.8714975, -22.3331824))",unclassified,road
"((-48.174199, -15.918119), (-48.1736219, -15.9182868))",secondary,road
"((-40.8461863, -19.1675088), (-40.8459061, -19.1676015))",service,road
"((-48.0802032, -20.49012), (-48.0816355, -20.4890446))",tertiary,road
"((-48.9798307, -21.1514345), (-48.9798374, -21.1513899))",primary,road
"((-61.9038498, -10.9347918), (-61.9039169, -10.9345877))",service,road
"((-41.1004865, -13.2930509), (-41.1024284, -13.2954681))",unclassified,road
"((-46.322836, -21.0667979), (-46.3227287, -21.0667503))",unclassified,road
"((-49.3669222, -20.7776515), (-49.3668182, -20.7777036))",primary,road
"((-46.8314867, -17.148639), (-46.8313815, -17.1488793))",unclassified,road
"((-40.2450053, -18.7354097), (-40.2449866, -18.7353856))",unclassified,road
"((-43.2918237, -22.8014012), (-43.291866, -22.8013067))",primary,road
"((-45.5139072, -11.4492177), (-45.5135612, -11.4491375))",unclassified,road
"((-45.7928891, -20.4751083), (-45.7921006, -20.4748947))",tertiary,road
"((-42.8657683, -20.7639842), (-42.8657579, -20.7639788))",service,road
"((-49.3728895, -17.2904857), (-49.3726144, -17.2898145))",primary,road
"((-41.9435967, -18.8646691), (-41.9440715, -18.864125))",tertiary,road
"((-38.5099125, -11.4195931), (-38.5088933, -11.420161))",unclassified,road
"((-47.6145617, -19.6408779), (-47.6140125, -19.6395246))",unclassified,road
"((-50.1078914, -17.0653233), (-50.1136878, -17.0637605))",secondary,road
"((-44.1486179, -19.7524425), (-44.148354, -19.752599))",tertiary,road
"((-44.3905659, -21.0458318), (-44.3905766, -21.0460352))",unclassified,road
"((-48.0479089, -20.7149017), (-48.0466869, -20.7125564))",primary,road
"((-40.213358, -18.4141317), (-40.2130093, -18.414698))",primary,road
"((-45.387469, -3.6588422), (-45.3877539, -3.6595852))",tertiary,road
"((-39.5030795, -10.649848), (-39.503113, -10.6495896))",unclassified,road
"((-42.7538149, -22.5322876), (-42.7550179, -22.5326456))",primary,road
"((-48.543428, -22.2803537), (-48.5432801, -22.280294))",secondary,road
"((-41.2482607, -20.1524287), (-41.2483563, -20.1524279))",unclassified,road
"((-47.0041077, -22.0955588), (-47.004042, -22.0955302))",service,road
"((-49.9340336, -15.5226913), (-49.9338518, -15.520741))",secondary,road
"((-42.9391998, -21.2543368), (-42.9391301, -21.2544543))",unclassified,road
"((-45.5289383, -20.9134042), (-45.5288661, -20.9135496))",unclassified,road
"((-45.5605331, -7.0098923), (-45.5604529, -7.0098251))",unclassified,road
"((-47.7692588, -21.0278897), (-47.7690952, -21.028279))",secondary,road
"((-49.3724973, -20.8174636), (-49.3725404, -20.8175043))",tertiary,road
"((-43.2067582, -19.7477888), (-43.2067287, -19.7476929))",unclassified,road
"((-48.2430816, -18.9440888), (-48.2430831, -18.9445515))",tertiary,road
"((-42.683773, -21.2676849), (-42.6837355, -21.2681649))",unclassified,road
"((-47.8591923, -20.76756), (-47.8591489, -20.7675441))",service,road
"((-42.1755387, -21.1003785), (-42.1759263, -21.1000582))",tertiary,road
"((-49.0583539, -19.9046676), (-49.0540168, -19.9074166))",unclassified,road
"((-47.555173, -14.7661364), (-47.5550902, -14.7661066))",primary,road
"((-43.1295267, -22.8778124), (-43.1294703, -22.8777753))",service,road
"((-42.4518672, -20.8068745), (-42.4519732, -20.8069476))",unclassified,road
"((-59.2682799, -9.7510611), (-59.2686911, -9.7514976))",unclassified,road
"((-40.1918937, -20.1665675), (-40.1918985, -20.1665142))",secondary,road
"((-49.4731146, -20.8338621), (-49.4731341, -20.831767))",unclassified,road
"((-49.8110488, -20.7798577), (-49.8109308, -20.7795317))",secondary,road
"((-47.8500885, -21.1620266), (-47.8521149, -21.1608509))",service,road
"((-40.7916713, -8.787424), (-40.7915981, -8.7876731))",unclassified,road
"((-42.4565648, -20.9240149), (-42.4564424, -20.9236865))",unclassified,road
"((-54.6986965, -16.8395194), (-54.6987611, -16.8395092))",tertiary,road
"((-44.6502882, -21.3989196), (-44.65013, -21.3984776))",unclassified,road
"((-42.2883216, -16.1574254), (-42.2883968, -16.1576121))",secondary,road
"((-47.145277, -20.7472292), (-47.1451637, -20.746678))",unclassified,road
"((-42.155233, -11.2591559), (-42.1549811, -11.2589885))",tertiary,road
"((-42.543544, -19.4711595), (-42.5435215, -19.4711871))",service,road
"((-50.1634961, -17.809861), (-50.1635744, -17.8093556))",primary,road
"((-49.3282709, -20.7685534), (-49.3284003, -20.768312))",tertiary,road
"((-45.7364903, -11.7949366), (-45.7369825, -11.7949773))",unclassified,road
"((-49.7727569, -18.77565), (-49.7726476, -18.7756049))",service,road
"((-48.9636827, -21.1547125), (-48.9640313, -21.1545174))",service,road
"((-44.9140792, -20.1179453), (-44.9142227, -20.1179352))",unclassified,road
"((-41.7281008, -9.0956153), (-41.7276903, -9.0955586))",service,road
"((-44.8254145, -20.0781521), (-44.8253736, -20.0781504))",unclassified,road
"((-51.9211589, -6.5723875), (-51.9213601, -6.5725767))",tertiary,road
"((-44.2455415, -20.0844929), (-44.2453417, -20.0846063))",secondary,road
"((-55.7323028, -12.9843487), (-55.732044, -12.9843029))",unclassified,road
"((-39.4599925, -13.2435407), (-39.4599335, -13.243542))",unclassified,road
"((-43.9725437, -19.9063802), (-43.9721827, -19.9063755))",tertiary,road
"((-43.7432402, -21.2904921), (-43.7439258, -21.2905492))",unclassified,road
"((-46.8199673, -20.3679533), (-46.8199043, -20.3679897))",unclassified,road
"((-43.395408, -21.1634348), (-43.3954362, -21.1635055))",unclassified,road
"((-40.3032911, -19.2838413), (-40.3031942, -19.2837872))",unclassified,road
"((-44.5407763, -22.3318922), (-44.5408367, -22.3319316))",secondary,road
"((-48.6811307, -22.2601159), (-48.6824892, -22.2596455))",unclassified,road
"((-45.567919, -10.6634322), (-45.5677915, -10.663613))",unclassified,road
"((-48.5550437, -14.187554), (-48.5527048, -14.1833309))",unclassified,road
"((-49.4034013, -19.777918), (-49.4024223, -19.7777237))",unclassified,road
"((-43.9288067, -19.8534788), (-43.9286697, -19.8539865))",tertiary,road
"((-49.2368629, -16.7168265), (-49.2368651, -16.7168259))",service,road
"((-44.1763243, -22.5422243), (-44.1764238, -22.5421685))",tertiary,road
"((-42.9892869, -14.25018), (-42.9888282, -14.2509079))",unclassified,road
"((-42.4907547, -9.689767), (-42.4908013, -9.6898302))",unclassified,road
"((-40.198231, -12.0410047), (-40.1981626, -12.0410073))",unclassified,road
"((-51.0917537, -16.4141469), (-51.0931342, -16.4159224))",primary,road
"((-41.1222668, -21.221593), (-41.1222109, -21.2209268))",unclassified,road
"((-48.4290391, -1.2632403), (-48.4291023, -1.2633215))",unclassified,road
"((-39.2766819, -11.565049), (-39.2768168, -11.5649334))",tertiary,road
"((-41.5001569, -7.102262), (-41.500305, -7.1016903))",tertiary,road
"((-43.784714, -21.5603293), (-43.7845411, -21.5599491))",service,road
"((-57.3982304, -9.578308), (-57.3990972, -9.57846))",secondary,road
"((-55.4105844, -10.3165083), (-55.4106335, -10.3165326))",secondary,road
"((-49.7275337, -20.183745), (-49.7273917, -20.183832))",service,road
"((-52.7408284, -14.8942191), (-52.7409384, -14.8945664))",unclassified,road
