
"((-53.7210965, -29.7012041), (-53.7211126, -29.7006431))",service,road
"((-73.1175877, -36.7906524), (-73.117307, -36.7907822))",tertiary,road
"((-52.9673272, -30.225221), (-52.9674162, -30.2251942))",unclassified,road
"((-50.8694619, -25.6821768), (-50.8693922, -25.6815338))",unclassified,road
"((-70.75794, -34.2100589), (-70.7578863, -34.2101122))",tertiary,road
"((-60.93166, -31.6805688), (-60.9306091, -31.6765462))",unclassified,road
"((-55.8332094, -34.3950926), (-55.8332406, -34.3950975))",service,road
"((-53.3914579, -24.3868581), (-53.3914695, -24.3868369))",primary,road
"((-52.9971188, -26.2101043), (-52.996911, -26.20999))",service,road
"((-50.7617793, -25.5934335), (-50.7611436, -25.5932376))",unclassified,road
"((-60.7101794, -32.8661772), (-60.7101639, -32.8661958))",service,road
"((-65.1975157, -26.8339869), (-65.1978651, -26.8353867))",primary,road
"((-73.0154184, -38.8652287), (-73.0154586, -38.8654563))",unclassified,road
"((-58.6534474, -34.4443572), (-58.6533767, -34.4442984))",tertiary,road
"((-70.7528213, -34.1632566), (-70.7529413, -34.163583))",service,road
"((-64.1860798, -31.3998919), (-64.1858857, -31.3994372))",primary,road
"((-72.8617499, -36.8488757), (-72.8618243, -36.8489339))",unclassified,road
"((-71.2276388, -32.8583295), (-71.2270091, -32.8584401))",secondary,road
"((-71.6021705, -33.9954147), (-71.6021169, -33.995468))",service,road
"((-58.8882435, -34.5874226), (-58.8881792, -34.5873475))",service,road
"((-55.1524937, -27.5136002), (-55.1527853, -27.5128352))",secondary,road
"((-49.0137414, -28.4271646), (-49.0138507, -28.4274058))",primary,road
"((-62.7421796, -33.4634897), (-62.7420059, -33.4626512))",unclassified,road
"((-71.8384168, -36.1400907), (-71.83837, -36.1399281))",secondary,road
"((-56.513122, -23.8174689), (-56.5134231, -23.8177037))",service,road
"((-64.3254109, -31.2409095), (-64.3257641, -31.241125))",unclassified,road
"((-58.7252947, -34.3449697), (-58.7247592, -34.3449961))",service,road
"((-50.9731386, -25.472552), (-50.9734023, -25.4724437))",tertiary,road
"((-53.5022425, -28.2552703), (-53.5025334, -28.2548134))",unclassified,road
"((-51.3503717, -29.4851478), (-51.3504189, -29.4850584))",service,road
"((-53.0039672, -26.8261894), (-53.0040149, -26.8261137))",secondary,road
"((-49.3775931, -28.7376025), (-49.3778508, -28.7376132))",tertiary,road
"((-58.0780172, -32.3327575), (-58.0783638, -32.3328363))",service,road
"((-52.3389591, -26.9266011), (-52.3388852, -26.926656))",service,road
"((-58.9756435, -36.0612299), (-58.975588, -36.061309))",tertiary,road
"((-70.6292463, -33.2540977), (-70.6290861, -33.2543409))",tertiary,road
"((-73.0880553, -39.325316), (-73.0877227, -39.3250981))",unclassified,road
"((-52.3829627, -31.7568383), (-52.3825671, -31.7568884))",primary,road
"((-71.3638447, -32.2876968), (-71.3638679, -32.2876732))",service,road
"((-70.6609726, -33.9732749), (-70.6610745, -33.9734028))",service,road
"((-57.7206378, -34.0638834), (-57.7200968, -34.0643089))",service,road
"((-64.160331, -31.3762063), (-64.1604738, -31.3761885))",primary,road
"((-51.7685948, -27.9014622), (-51.7685687, -27.9014408))",unclassified,road
"((-61.5112386, -35.0931575), (-61.5069366, -35.0928382))",tertiary,road
"((-58.5868587, -34.5590501), (-58.5862711, -34.5575633))",primary,road
"((-72.6980866, -36.5651215), (-72.6980701, -36.5650991))",unclassified,road
"((-54.1503346, -31.3180903), (-54.1514343, -31.3176458))",unclassified,road
"((-71.2227063, -32.8767365), (-71.2226066, -32.8767225))",secondary,road
"((-66.949377, -28.8044754), (-66.9495108, -28.8043065))",service,road
"((-49.7100335, -28.8018624), (-49.7099152, -28.801926))",tertiary,road
"((-51.243968, -29.6794356), (-51.2439439, -29.6799226))",service,road
"((-52.4037225, -26.8746373), (-52.4037265, -26.8746999))",tertiary,road
"((-72.6863755, -45.4015489), (-72.6864073, -45.4015214))",service,road
"((-51.3062912, -29.4795782), (-51.3061295, -29.4793579))",secondary,road
"((-52.2057304, -27.1473811), (-52.2061193, -27.1477045))",unclassified,road
"((-58.2032047, -34.835158), (-58.202936, -34.8352213))",service,road
"((-58.825698, -27.488464), (-58.8257805, -27.4890239))",secondary,road
"((-49.6345551, -29.1124128), (-49.6344806, -29.1122548))",secondary,road
"((-71.3823941, -34.639169), (-71.3823877, -34.6392013))",primary,road
"((-61.3714811, -32.9064781), (-61.3845453, -32.889491))",unclassified,road
"((-70.6773944, -33.4265071), (-70.6774152, -33.4265376))",primary,road
"((-58.1649148, -35.8664408), (-58.1649586, -35.8675653))",tertiary,road
"((-52.8379752, -24.5866266), (-52.8390816, -24.5863959))",unclassified,road
"((-54.4551214, -27.6152634), (-54.4540827, -27.6156579))",unclassified,road
"((-64.5636107, -31.9238627), (-64.5633015, -31.9228598))",service,road
"((-72.4756962, -51.7111459), (-72.4753743, -51.7105941))",service,road
"((-57.647741, -25.2758002), (-57.6477257, -25.275711))",tertiary,road
"((-51.0871186, -26.2436594), (-51.0871516, -26.2436647))",secondary,road
"((-51.0724647, -26.7740453), (-51.0722994, -26.7740338))",service,road
"((-64.3584588, -30.4271232), (-64.3597236, -30.427484))",secondary,road
"((-71.863032, -37.0480973), (-71.8630931, -37.0480937))",tertiary,road
"((-68.8435678, -32.8965571), (-68.8435306, -32.8963761))",tertiary,road
"((-67.9969957, -38.9389006), (-67.9970013, -38.9389183))",service,road
"((-60.2697986, -38.3571807), (-60.2693792, -38.3574969))",secondary,road
"((-53.0330899, -27.139772), (-53.0327171, -27.1395524))",service,road
"((-56.2350118, -26.9335666), (-56.2349995, -26.9334974))",service,road
"((-63.2716948, -31.9390568), (-63.2716948, -31.9361234))",service,road
"((-70.6531775, -33.4334186), (-70.6532069, -33.4331481))",tertiary,road
"((-53.6744959, -27.2545998), (-53.673462, -27.2545914))",unclassified,road
"((-60.4159046, -27.2958158), (-60.4159068, -27.2960854))",tertiary,road
"((-53.5388124, -29.9959153), (-53.5389197, -29.9958038))",unclassified,road
"((-53.9718692, -27.8004517), (-53.9720479, -27.8009641))",unclassified,road
"((-57.4881212, -25.2574843), (-57.4888313, -25.2573254))",primary,road
"((-55.0993055, -26.9332605), (-55.0993089, -26.9333986))",service,road
"((-68.2482398, -53.378887), (-68.2483149, -53.3808646))",service,road
"((-66.3221655, -33.2674164), (-66.3217244, -33.267411))",unclassified,road
"((-73.0315325, -36.9013841), (-73.0315972, -36.9011764))",primary,road
"((-65.738259, -26.8685507), (-65.739375, -26.868304))",unclassified,road
"((-72.3329353, -39.6422735), (-72.3328286, -39.6422312))",service,road
"((-52.3235444, -31.7460918), (-52.3239121, -31.7453507))",secondary,road
"((-67.4907376, -45.8624098), (-67.4892181, -45.8624081))",primary,road
"((-71.2045899, -32.793328), (-71.2047134, -32.7932194))",service,road
"((-53.1093264, -26.6184128), (-53.1095632, -26.618748))",service,road
"((-62.7394219, -35.983004), (-62.7382338, -35.9824061))",tertiary,road
"((-54.844387, -27.687373), (-54.8447786, -27.6876822))",unclassified,road
"((-51.1344883, -29.6909856), (-51.1344507, -29.6909821))",secondary,road
"((-51.0173267, -26.7606683), (-51.0170008, -26.7604743))",service,road
"((-68.4603804, -33.0820573), (-68.4600704, -33.0813975))",tertiary,road
"((-63.2360994, -36.7548333), (-63.2244736, -36.7455044))",unclassified,road
"((-55.0770257, -25.0153844), (-55.0768463, -25.0171975))",unclassified,road
"((-49.6344509, -29.1098998), (-49.6340054, -29.1089649))",tertiary,road
"((-71.3600931, -41.1629015), (-71.3598973, -41.1629156))",service,road
"((-58.5262868, -34.5056611), (-58.5263834, -34.5056712))",service,road
"((-49.9995382, -29.7262755), (-49.9989484, -29.7265216))",tertiary,road
"((-71.2520808, -29.9632154), (-71.2519877, -29.9622792))",tertiary,road
"((-56.3070975, -25.0101973), (-56.3067314, -25.0093247))",service,road
"((-55.931032, -34.822208), (-55.9327598, -34.8231853))",primary,road
"((-52.2695832, -26.7358198), (-52.2701168, -26.7355259))",tertiary,road
"((-70.6677241, -33.338998), (-70.6677574, -33.338952))",tertiary,road
"((-51.9966247, -29.5116743), (-51.9970412, -29.5112633))",tertiary,road
"((-70.8776219, -33.4501109), (-70.8775713, -33.4501193))",service,road
"((-51.5696716, -27.8629506), (-51.5697402, -27.8629228))",tertiary,road
"((-73.0606413, -40.682163), (-73.0618444, -40.6821107))",service,road
"((-60.7342379, -27.5792934), (-60.7355447, -27.5792836))",secondary,road
"((-69.1458725, -33.3607858), (-69.1462326, -33.3602674))",primary,road
"((-53.9216699, -28.4135738), (-53.9217685, -28.4135762))",secondary,road
"((-58.2850713, -34.7973199), (-58.284041, -34.7968037))",tertiary,road
"((-60.3777061, -30.2720092), (-60.3782, -30.2719118))",unclassified,road
"((-71.4190253, -33.0473724), (-71.4190075, -33.0474628))",secondary,road
"((-70.6327848, -33.4777357), (-70.6321965, -33.4776524))",tertiary,road
"((-61.2777773, -38.0570583), (-61.2783091, -38.0575789))",unclassified,road
"((-58.2784109, -34.7276235), (-58.2773352, -34.7270541))",tertiary,road
"((-54.6420619, -28.2892927), (-54.6408337, -28.2899612))",tertiary,road
"((-50.0950466, -29.9095128), (-50.0950854, -29.9096135))",secondary,road
"((-73.1225699, -37.8425642), (-73.1226209, -37.8426235))",unclassified,road
"((-54.7680478, -27.6102631), (-54.7673947, -27.609384))",unclassified,road
"((-53.2164483, -25.6202466), (-53.2165753, -25.6200108))",unclassified,road
"((-57.4350869, -25.2530491), (-57.4345791, -25.2534326))",service,road
"((-63.9150242, -27.8995979), (-63.9151082, -27.8994467))",secondary,road
"((-52.5652146, -25.9774335), (-52.5650602, -25.9763689))",primary,road
"((-63.8366177, -31.9006328), (-63.8365209, -31.8889726))",unclassified,road
"((-60.6151811, -33.018721), (-60.614427, -33.0186962))",tertiary,road
"((-55.3983021, -25.318104), (-55.3969274, -25.3180095))",service,road
"((-63.859435, -36.5084267), (-63.8607574, -36.5084189))",tertiary,road
"((-61.1069141, -33.8911386), (-61.1068904, -33.8911567))",secondary,road
"((-68.8598156, -46.447198), (-68.8589492, -46.4475307))",service,road
"((-72.8421772, -36.9890563), (-72.8422185, -36.9890879))",unclassified,road
"((-65.1965168, -24.2462375), (-65.1974146, -24.2457419))",service,road
"((-53.230587, -24.1831687), (-53.2250411, -24.1839161))",unclassified,road
"((-72.3665217, -39.3932412), (-72.3648294, -39.3935093))",tertiary,road
"((-58.506313, -34.6283141), (-58.5061744, -34.6284151))",secondary,road
"((-51.8359007, -28.1698127), (-51.8356928, -28.169821))",unclassified,road
"((-49.2693882, -28.80276), (-49.2694997, -28.8027511))",tertiary,road
"((-62.3129814, -38.6817364), (-62.3128938, -38.6816907))",unclassified,road
"((-58.4787118, -31.9256951), (-58.4841567, -31.9249211))",unclassified,road
"((-58.9778361, -27.4509774), (-58.9785612, -27.4503362))",secondary,road
"((-67.1505665, -39.0684466), (-67.1499547, -39.0685372))",unclassified,road
"((-52.0550814, -28.8411072), (-52.0549688, -28.8410649))",unclassified,road
"((-71.6248935, -43.1831082), (-71.6251402, -43.1830061))",service,road
"((-61.205104, -34.1196662), (-61.2003697, -34.1235922))",unclassified,road
"((-57.6996703, -36.3204011), (-57.6996795, -36.3203552))",tertiary,road
geometry,class,subtype
"((-72.9032267, -7.6085928), (-72.903207, -7.6085716))",secondary,road
"((-46.9670577, -23.1414014), (-46.9671723, -23.1411973))",service,road
"((-78.6233139, -8.495675), (-78.6246443, -8.4964284))",unclassified,road
"((-76.9515244, -12.1524906), (-76.9515139, -12.1524784))",service,road
"((-51.3261259, -24.845943), (-51.3270199, -24.846025))",unclassified,road
"((-80.7005694, -5.0104754), (-80.7004741, -5.0104963))",service,road
"((-50.5517046, -23.8975981), (-50.5516496, -23.8975588))",unclassified,road
"((-78.6101126, -0.9377166), (-78.6101321, -0.9379286))",tertiary,road
"((-47.026594, -22.9538563), (-47.0265381, -22.9539372))",unclassified,road
"((-46.7128472, -23.1400127), (-46.7128903, -23.1408305))",tertiary,road
"((-51.9168375, -23.3849864), (-51.9170703, -23.3852849))",primary,road
"((-66.3698504, -18.1165794), (-66.3697606, -18.1165994))",unclassified,road
"((-50.6955414, -22.2536334), (-50.695527, -22.25367))",secondary,road
"((-49.8657643, -22.9898958), (-49.8657136, -22.9905394))",secondary,road
"((-51.7890817, -24.7620451), (-51.7885342, -24.7620985))",tertiary,road
"((-77.3053698, -5.9259602), (-77.3073296, -5.9283321))",tertiary,road
