start_indices,desitnation_indices,start_loc,end_loc,cost,truth
"(353, 498)","(494, 439)","55.05833333333334,-1.8499999999999996","53.88333333333333,-2.341666666666667",181.06817626953125,158.91666666666666
"(494, 439)","(309, 184)","53.88333333333333,-2.341666666666667","55.425,-4.466666666666667",283.8506774902344,224.9
"(309, 184)","(409, 297)","55.425,-4.466666666666667","54.59166666666667,-3.525",225.2534942626953,169.55
"(409, 297)","(99, 466)","54.59166666666667,-3.525","57.175,-2.1166666666666667",398.9963684082031,296.85
"(99, 466)","(93, 262)","57.175,-2.1166666666666667","57.225,-3.816666666666667",183.41671752929688,121.83333333333333
"(93, 262)","(270, 395)","57.225,-3.816666666666667","55.75,-2.7083333333333335",268.12628173828125,178.38333333333333
"(270, 395)","(434, 462)","55.75,-2.7083333333333335","54.38333333333333,-2.15",198.7493896484375,194.16666666666666
"(434, 462)","(88, 278)","54.38333333333333,-2.15","57.266666666666666,-3.6833333333333336",437.3287658691406,330.25
"(88, 278)","(302, 504)","57.266666666666666,-3.6833333333333336","55.483333333333334,-1.7999999999999998",385.8807067871094,252.25
"(302, 504)","(460, 575)","55.483333333333334,-1.7999999999999998","54.166666666666664,-1.208333333333333",159.57196044921875,121.91666666666667
"(460, 575)","(118, 81)","54.166666666666664,-1.208333333333333","57.016666666666666,-5.325",552.6238403320312,434.98333333333335
"(118, 81)","(257, 311)","57.016666666666666,-5.325","55.858333333333334,-3.408333333333333",292.3486633300781,241.18333333333334
"(257, 311)","(449, 548)","55.858333333333334,-3.408333333333333","54.25833333333333,-1.4333333333333336",279.6795349121094,208.86666666666667
"(449, 548)","(94, 339)","54.25833333333333,-1.4333333333333336","57.21666666666667,-3.175",441.9892883300781,375.26666666666665
"(94, 339)","(39, 306)","57.21666666666667,-3.175","57.675,-3.45",92.62483215332031,102.36666666666666
"(39, 306)","(174, 327)","57.675,-3.45","56.55,-3.275",177.54656982421875,161.91666666666666
"(174, 327)","(31, 217)","56.55,-3.275","57.74166666666667,-4.191666666666666",247.97052001953125,163.16666666666666
"(31, 217)","(120, 205)","57.74166666666667,-4.191666666666666","57.0,-4.291666666666667",140.99452209472656,107.86666666666666
"(120, 205)","(94, 443)","57.0,-4.291666666666667","57.21666666666667,-2.3083333333333336",216.7255096435547,158.71666666666667
"(94, 443)","(434, 524)","57.21666666666667,-2.3083333333333336","54.38333333333333,-1.6333333333333337",450.5416259765625,328.1166666666667
"(434, 524)","(358, 510)","54.38333333333333,-1.6333333333333337","55.016666666666666,-1.75",70.09103393554688,60.166666666666664
"(358, 510)","(73, 56)","55.016666666666666,-1.75","57.391666666666666,-5.533333333333333",525.5899658203125,384.01666666666665
"(73, 56)","(423, 580)","57.391666666666666,-5.533333333333333","54.475,-1.166666666666667",605.030029296875,439.7
"(423, 580)","(438, 657)","54.475,-1.166666666666667","54.35,-0.5250000000000004",76.72859954833984,59.666666666666664
"(438, 657)","(248, 249)","54.35,-0.5250000000000004","55.93333333333334,-3.925",380.7140197753906,280.0
"(248, 249)","(319, 304)","55.93333333333334,-3.925","55.34166666666667,-3.466666666666667",72.73686218261719,79.88333333333334
"(319, 304)","(447, 377)","55.34166666666667,-3.466666666666667","54.275,-2.8583333333333334",128.77362060546875,106.36666666666666
"(447, 377)","(286, 449)","54.275,-2.8583333333333334","55.61666666666667,-2.2583333333333333",202.86517333984375,165.86666666666667
"(286, 449)","(105, 474)","55.61666666666667,-2.2583333333333333","57.125,-2.0500000000000003",324.4134521484375,209.43333333333334
"(105, 474)","(209, 217)","57.125,-2.0500000000000003","56.25833333333333,-4.191666666666666",244.14279174804688,147.3
"(209, 217)","(256, 426)","56.25833333333333,-4.191666666666666","55.86666666666667,-2.45",176.1608123779297,125.33333333333333
"(256, 426)","(74, 489)","55.86666666666667,-2.45","57.38333333333333,-1.9249999999999998",333.3402404785156,220.18333333333334
"(74, 489)","(464, 674)","57.38333333333333,-1.9249999999999998","54.13333333333333,-0.38333333333333375",603.645751953125,427.46666666666664
"(464, 674)","(324, 474)","54.13333333333333,-0.38333333333333375","55.3,-2.0500000000000003",233.91952514648438,188.8
"(324, 474)","(491, 525)","55.3,-2.0500000000000003","53.90833333333333,-1.625",173.2390594482422,147.58333333333334
"(491, 525)","(266, 335)","53.90833333333333,-1.625","55.78333333333333,-3.2083333333333335",290.5819396972656,222.58333333333334
"(266, 335)","(329, 200)","55.78333333333333,-3.2083333333333335","55.25833333333333,-4.333333333333333",150.279052734375,117.73333333333333
"(329, 200)","(475, 502)","55.25833333333333,-4.333333333333333","54.041666666666664,-1.8166666666666664",311.5787048339844,223.6
"(475, 502)","(321, 514)","54.041666666666664,-1.8166666666666664","55.325,-1.7166666666666668",151.62054443359375,130.85
"(321, 514)","(79, 298)","55.325,-1.7166666666666668","57.34166666666667,-3.5166666666666666",388.8910217285156,267.65
"(79, 298)","(327, 412)","57.34166666666667,-3.5166666666666666","55.275,-2.566666666666667",332.152587890625,281.6166666666667
"(327, 412)","(392, 384)","55.275,-2.566666666666667","54.733333333333334,-2.8",92.01625061035156,86.9
"(392, 384)","(402, 467)","54.733333333333334,-2.8","54.65,-2.1083333333333334",84.82095336914062,62.06666666666667
"(402, 467)","(149, 265)","54.65,-2.1083333333333334","56.75833333333333,-3.7916666666666665",319.1331787109375,254.18333333333334
"(149, 265)","(133, 79)","56.75833333333333,-3.7916666666666665","56.891666666666666,-5.341666666666667",171.07623291015625,116.36666666666666
"(133, 79)","(168, 180)","56.891666666666666,-5.341666666666667","56.6,-4.5",167.32887268066406,164.58333333333334
"(168, 180)","(379, 120)","56.6,-4.5","54.84166666666667,-5.0",265.3506774902344,253.5
"(379, 120)","(180, 184)","54.84166666666667,-5.0","56.5,-4.466666666666667",233.03213500976562,220.55
"(180, 184)","(464, 528)","56.5,-4.466666666666667","54.13333333333333,-1.5999999999999996",392.8044128417969,290.6333333333333
"(464, 528)","(44, 291)","54.13333333333333,-1.5999999999999996","57.63333333333333,-3.575",513.6497802734375,390.55
"(44, 291)","(67, 293)","57.63333333333333,-3.575","57.44166666666667,-3.5583333333333336",44.03947830200195,29.616666666666667
"(67, 293)","(117, 322)","57.44166666666667,-3.5583333333333336","57.025,-3.316666666666667",88.10066223144531,122.25
"(117, 322)","(319, 188)","57.025,-3.316666666666667","55.34166666666667,-4.433333333333334",250.156494140625,207.8
"(319, 188)","(293, 401)","55.34166666666667,-4.433333333333334","55.55833333333334,-2.658333333333333",214.0185089111328,157.48333333333332
"(293, 401)","(263, 430)","55.55833333333334,-2.658333333333333","55.80833333333334,-2.4166666666666665",48.460960388183594,51.05
"(263, 430)","(294, 283)","55.80833333333334,-2.4166666666666665","55.55,-3.6416666666666666",146.91018676757812,107.88333333333334
"(294, 283)","(49, 265)","55.55,-3.6416666666666666","57.59166666666667,-3.7916666666666665",297.28961181640625,231.08333333333334
"(49, 265)","(382, 311)","57.59166666666667,-3.7916666666666665","54.81666666666667,-3.408333333333333",423.2900085449219,318.7
"(382, 311)","(450, 577)","54.81666666666667,-3.408333333333333","54.25,-1.1916666666666664",233.9777374267578,148.16666666666666
"(450, 577)","(122, 378)","54.25,-1.1916666666666664","56.983333333333334,-2.85",443.86920166015625,358.78333333333336
"(122, 378)","(188, 154)","56.983333333333334,-2.85","56.43333333333333,-4.716666666666667",244.52093505859375,197.15
"(188, 154)","(393, 378)","56.43333333333333,-4.716666666666667","54.725,-2.85",236.6414337158203,192.65
"(393, 378)","(300, 305)","54.725,-2.85","55.5,-3.4583333333333335",94.25224304199219,78.5
"(300, 305)","(132, 110)","55.5,-3.4583333333333335","56.9,-5.083333333333333",265.7099304199219,228.95
"(132, 110)","(444, 516)","56.9,-5.083333333333333","54.3,-1.7000000000000002",457.6921691894531,353.1166666666667
"(444, 516)","(450, 460)","54.3,-1.7000000000000002","54.25,-2.1666666666666665",60.477317810058594,51.21666666666667
"(450, 460)","(388, 534)","54.25,-2.1666666666666665","54.766666666666666,-1.5499999999999998",97.70732879638672,87.4
"(388, 534)","(263, 199)","54.766666666666666,-1.5499999999999998","55.80833333333334,-4.341666666666667",276.8706359863281,193.01666666666668
"(263, 199)","(426, 602)","55.80833333333334,-4.341666666666667","54.45,-0.9833333333333334",343.2987060546875,234.83333333333334
"(426, 602)","(38, 188)","54.45,-0.9833333333333334","57.68333333333333,-4.433333333333334",577.2180786132812,405.06666666666666
"(38, 188)","(451, 522)","57.68333333333333,-4.433333333333334","54.24166666666667,-1.6500000000000004",547.2069702148438,389.78333333333336
"(451, 522)","(383, 180)","54.24166666666667,-1.6500000000000004","54.80833333333334,-4.5",323.2492370605469,209.88333333333333
"(383, 180)","(312, 404)","54.80833333333334,-4.5","55.4,-2.6333333333333333",229.291015625,164.93333333333334
"(312, 404)","(64, 324)","55.4,-2.6333333333333333","57.46666666666667,-3.3",309.6300964355469,259.96666666666664
"(64, 324)","(386, 486)","57.46666666666667,-3.3","54.78333333333333,-1.9500000000000002",403.9969787597656,336.9
"(386, 486)","(85, 406)","54.78333333333333,-1.9500000000000002","57.291666666666664,-2.6166666666666667",406.0003356933594,322.26666666666665
"(85, 406)","(197, 265)","57.291666666666664,-2.6166666666666667","56.358333333333334,-3.7916666666666665",208.54298400878906,152.83333333333334
"(197, 265)","(236, 383)","56.358333333333334,-3.7916666666666665","56.03333333333333,-2.8083333333333336",130.9358367919922,100.66666666666667
"(236, 383)","(302, 213)","56.03333333333333,-2.8083333333333336","55.483333333333334,-4.225",164.24578857421875,123.21666666666667
"(302, 213)","(4, 173)","55.483333333333334,-4.225","57.96666666666667,-4.558333333333334",403.88726806640625,293.75
"(4, 173)","(236, 215)","57.96666666666667,-4.558333333333334","56.03333333333333,-4.208333333333333",337.31982421875,251.35
"(236, 215)","(61, 281)","56.03333333333333,-4.208333333333333","57.49166666666667,-3.658333333333333",235.95480346679688,189.0
"(61, 281)","(393, 547)","57.49166666666667,-3.658333333333333","54.725,-1.4416666666666664",456.482177734375,336.56666666666666
