
"((-49.9235695, -28.5742203), (-49.9241982, -28.5742881))",unclassified,road
"((-49.9241982, -28.5742881), (-49.9258969, -28.5747918))",unclassified,road
"((-51.2179377, -29.5335594), (-51.2179264, -29.5335213))",tertiary,road
"((-51.2179264, -29.5335213), (-51.2177816, -29.5331059))",tertiary,road
"((-51.2177816, -29.5331059), (-51.217736, -29.5328259))",tertiary,road
"((-51.217736, -29.5328259), (-51.2176126, -29.531834))",tertiary,road
"((-51.2176126, -29.531834), (-51.2175077, -29.5313667))",tertiary,road
"((-70.3873237, -23.5871248), (-70.3873841, -23.5871293))",tertiary,road
"((-70.3873841, -23.5871293), (-70.3874451, -23.5871339))",tertiary,road
"((-68.4893023, -31.6088522), (-68.4891251, -31.6078437))",tertiary,road
"((-61.1053143, -34.3502017), (-61.1081442, -34.3526131))",service,road
"((-59.7395269, -35.6192088), (-59.7353474, -35.6154368))",tertiary,road
"((-51.0838516, -29.9389968), (-51.0836364, -29.938893))",primary,road
"((-54.4572678, -27.7047672), (-54.4593045, -27.7044537))",service,road
"((-54.4593045, -27.7044537), (-54.4594344, -27.7044507))",service,road
"((-54.4594344, -27.7044507), (-54.4595321, -27.7044973))",service,road
"((-54.4595321, -27.7044973), (-54.4596707, -27.704732))",service,road
"((-54.4596707, -27.704732), (-54.4597422, -27.704785))",service,road
"((-54.5306815, -25.4989294), (-54.5315848, -25.4993247))",secondary,road
"((-54.5315848, -25.4993247), (-54.5330094, -25.4999291))",secondary,road
"((-54.5330094, -25.4999291), (-54.5333664, -25.500061))",secondary,road
"((-54.5333664, -25.500061), (-54.5334868, -25.5001016))",secondary,road
"((-54.5334868, -25.5001016), (-54.5336119, -25.50016))",secondary,road
"((-67.3067027, -54.1040824), (-67.3080228, -54.1013531))",unclassified,road
"((-67.3080228, -54.1013531), (-67.3081515, -54.1006737))",unclassified,road
"((-67.3081515, -54.1006737), (-67.3085378, -54.0944074))",unclassified,road
"((-67.3085378, -54.0944074), (-67.3085592, -54.0932874))",unclassified,road
"((-67.3085592, -54.0932874), (-67.308409, -54.0919157))",unclassified,road
"((-53.1879307, -25.9049082), (-53.1879574, -25.9052193))",unclassified,road
"((-53.1879574, -25.9052193), (-53.1879142, -25.9056239))",unclassified,road
"((-53.1879142, -25.9056239), (-53.1878526, -25.905829))",unclassified,road
"((-53.1878526, -25.905829), (-53.1877479, -25.9061782))",unclassified,road
"((-53.1877479, -25.9061782), (-53.1876493, -25.9063002))",unclassified,road
"((-52.3288551, -25.0546583), (-52.3287767, -25.0548218))",unclassified,road
"((-52.3287767, -25.0548218), (-52.3287284, -25.0549676))",unclassified,road
"((-52.3287284, -25.0549676), (-52.3287123, -25.0552154))",unclassified,road
"((-52.3287123, -25.0552154), (-52.3287016, -25.0556333))",unclassified,road
"((-52.3287016, -25.0556333), (-52.3287767, -25.0560707))",unclassified,road
"((-49.0153616, -28.4692486), (-49.015448, -28.4692245))",primary,road
"((-49.015448, -28.4692245), (-49.0155273, -28.4691941))",primary,road
"((-49.0155273, -28.4691941), (-49.0156066, -28.469153))",primary,road
"((-49.0156066, -28.469153), (-49.0156859, -28.4691012))",primary,road
"((-49.0156859, -28.4691012), (-49.0159074, -28.4689261))",primary,road
"((-64.1648608, -25.5226098), (-64.1651183, -25.5206779))",unclassified,road
"((-64.1651183, -25.5206779), (-64.1652632, -25.5194385))",unclassified,road
"((-64.1652632, -25.5194385), (-64.1655689, -25.5172355))",unclassified,road
"((-64.1655689, -25.5172355), (-64.1660839, -25.513304))",unclassified,road
"((-64.1660839, -25.513304), (-64.1662288, -25.5121613))",unclassified,road
"((-50.1494527, -29.6835036), (-50.1494338, -29.6836888))",motorway,road
"((-50.1494338, -29.6836888), (-50.1494202, -29.6837262))",motorway,road
"((-50.1494202, -29.6837262), (-50.1493949, -29.6837586))",motorway,road
"((-50.1493949, -29.6837586), (-50.1493434, -29.6837782))",motorway,road
"((-50.1493434, -29.6837782), (-50.1492902, -29.6837754))",motorway,road
"((-64.7488633, -24.4773972), (-64.7509499, -24.4851576))",unclassified,road
"((-55.7008544, -24.4530068), (-55.7014105, -24.4530995))",unclassified,road
"((-55.9383428, -27.3597738), (-55.938596, -27.3614793))",primary,road
"((-55.938596, -27.3614793), (-55.9388074, -27.3630079))",primary,road
"((-55.9388074, -27.3630079), (-55.9388116, -27.3630384))",primary,road
"((-60.4097426, -31.7684464), (-60.4101331, -31.7691543))",tertiary,road
"((-53.0166822, -26.0168193), (-53.0166736, -26.0163804))",unclassified,road
"((-53.0166736, -26.0163804), (-53.0166298, -26.0159053))",unclassified,road
"((-53.0166298, -26.0159053), (-53.016422, -26.0154613))",unclassified,road
"((-53.016422, -26.0154613), (-53.016149, -26.0149211))",unclassified,road
"((-61.7158198, -36.3003414), (-61.7146204, -36.3013267))",tertiary,road
"((-51.0079725, -29.44063), (-51.008639, -29.4401967))",unclassified,road
"((-51.008639, -29.4401967), (-51.0087385, -29.4400644))",unclassified,road
"((-51.0087385, -29.4400644), (-51.0088043, -29.4397702))",unclassified,road
"((-51.0088043, -29.4397702), (-51.0088794, -29.4395107))",unclassified,road
"((-51.0088794, -29.4395107), (-51.0088926, -29.439399))",unclassified,road
"((-55.2352431, -27.0499271), (-55.2352217, -27.0514301))",secondary,road
"((-69.3305969, -22.9074773), (-69.3308851, -22.907518))",motorway,road
"((-69.3308851, -22.907518), (-69.3311722, -22.907565))",motorway,road
"((-69.3311722, -22.907565), (-69.3314579, -22.9076181))",motorway,road
"((-69.3314579, -22.9076181), (-69.3317444, -22.907678))",motorway,road
"((-69.3317444, -22.907678), (-69.3320292, -22.9077442))",motorway,road
"((-53.6158387, -26.9376245), (-53.6156102, -26.937588))",tertiary,road
"((-52.2617657, -29.392572), (-52.2621804, -29.3923383))",unclassified,road
"((-52.2621804, -29.3923383), (-52.262667, -29.3920878))",unclassified,road
"((-54.997921, -25.7165576), (-54.9980168, -25.7155423))",unclassified,road
"((-54.9980168, -25.7155423), (-54.9980792, -25.715166))",unclassified,road
"((-54.9980792, -25.715166), (-54.9983289, -25.7148372))",unclassified,road
"((-54.9983289, -25.7148372), (-54.9987494, -25.7145198))",unclassified,road
"((-54.9987494, -25.7145198), (-54.9997736, -25.7138172))",unclassified,road
"((-60.2349986, -34.2987256), (-60.236018, -34.29849))",secondary,road
"((-63.2156212, -28.624613), (-63.2156278, -28.6248883))",unclassified,road
"((-63.2156278, -28.6248883), (-63.2155787, -28.6252381))",unclassified,road
"((-52.6873026, -27.2963711), (-52.6876417, -27.296397))",primary,road
"((-52.6876417, -27.296397), (-52.6878643, -27.2963852))",primary,road
"((-52.6878643, -27.2963852), (-52.6880009, -27.2963642))",primary,road
"((-52.6880009, -27.2963642), (-52.6882216, -27.2962961))",primary,road
"((-53.5424129, -26.3712759), (-53.5444594, -26.3706199))",tertiary,road
"((-53.5444594, -26.3706199), (-53.5461653, -26.3695337))",tertiary,road
"((-53.5461653, -26.3695337), (-53.5469056, -26.369005))",tertiary,road
"((-53.5469056, -26.369005), (-53.5471953, -26.3676304))",tertiary,road
"((-53.5471953, -26.3676304), (-53.5478005, -26.3672591))",tertiary,road
"((-73.1544733, -36.9371417), (-73.1544394, -36.9370184))",service,road
"((-73.1544394, -36.9370184), (-73.154416, -36.9369741))",service,road
"((-73.154416, -36.9369741), (-73.1543798, -36.9369656))",service,road
"((-73.1543798, -36.9369656), (-73.1543159, -36.9369656))",service,road
"((-73.1543159, -36.9369656), (-73.1532558, -36.9371324))",service,road
"((-68.8112562, -32.915018), (-68.8112999, -32.9151062))",secondary,road
"((-68.8112999, -32.9151062), (-68.8115955, -32.9156315))",secondary,road
"((-53.8386556, -25.7290356), (-53.8390143, -25.7292318))",unclassified,road
"((-53.8390143, -25.7292318), (-53.8394926, -25.729477))",unclassified,road
"((-53.8394926, -25.729477), (-53.8398083, -25.7297924))",unclassified,road
"((-53.8398083, -25.7297924), (-53.8399907, -25.7303529))",unclassified,road
"((-53.8399907, -25.7303529), (-53.8402374, -25.7310295))",unclassified,road
"((-52.3554043, -27.2809), (-52.355466, -27.2809005))",tertiary,road
"((-52.355466, -27.2809005), (-52.3561393, -27.2808767))",tertiary,road
"((-52.3561393, -27.2808767), (-52.3567937, -27.2808445))",tertiary,road
"((-52.3567937, -27.2808445), (-52.3569708, -27.2808302))",tertiary,road
"((-70.8456506, -33.4105414), (-70.8445869, -33.411723))",service,road
"((-70.8445869, -33.411723), (-70.8434055, -33.4130507))",service,road
"((-56.2718996, -29.0118178), (-56.2718128, -29.0110713))",unclassified,road
"((-56.2718128, -29.0110713), (-56.2711073, -29.0066077))",unclassified,road
"((-56.2711073, -29.0066077), (-56.2704482, -29.0023995))",unclassified,road
"((-56.2704482, -29.0023995), (-56.2699523, -28.9989317))",unclassified,road
"((-56.2699523, -28.9989317), (-56.2694866, -28.9959785))",unclassified,road
"((-71.4550672, -43.0948649), (-71.4554519, -43.094866))",tertiary,road
"((-50.9145392, -29.9357353), (-50.9145815, -29.9356004))",service,road
"((-50.9145815, -29.9356004), (-50.914762, -29.9355257))",service,road
"((-50.914762, -29.9355257), (-50.9160662, -29.9354709))",service,road
"((-50.9160662, -29.9354709), (-50.9173952, -29.9354961))",service,road
"((-50.9173952, -29.9354961), (-50.9193226, -29.9355326))",service,road
"((-72.7013824, -38.7443484), (-72.7009188, -38.745158))",tertiary,road
"((-72.7009188, -38.745158), (-72.7009105, -38.7452109))",tertiary,road
"((-72.7009105, -38.7452109), (-72.7009079, -38.7452641))",tertiary,road
"((-72.7009079, -38.7452641), (-72.700912, -38.7453243))",tertiary,road
"((-72.700912, -38.7453243), (-72.7009234, -38.7453839))",tertiary,road
"((-58.3869147, -34.8823421), (-58.3868413, -34.8829624))",tertiary,road
"((-52.9263811, -25.7367185), (-52.9264709, -25.7367559))",primary,road
"((-52.9264709, -25.7367559), (-52.9265633, -25.7367878))",primary,road
"((-52.9265633, -25.7367878), (-52.9266548, -25.7368133))",primary,road
"((-52.9266548, -25.7368133), (-52.9267479, -25.7368335))",primary,road
"((-52.9267479, -25.7368335), (-52.9268423, -25.7368482))",primary,road
"((-62.9644771, -36.7542096), (-62.965128, -36.7530774))",secondary,road
"((-70.907679, -33.6539445), (-70.9076169, -33.6539257))",tertiary,road
"((-57.5442557, -38.0725972), (-57.5442332, -38.0729164))",service,road
"((-57.5442332, -38.0729164), (-57.5442168, -38.0732423))",service,road
"((-51.2231223, -30.0704007), (-51.2233052, -30.0705944))",service,road
"((-51.2233052, -30.0705944), (-51.2235638, -30.0705813))",service,road
"((-53.721094, -29.7013274), (-53.7210965, -29.7012041))",service,road
"((-53.7210965, -29.7012041), (-53.7211126, -29.7006431))",service,road
"((-73.1177634, -36.7905785), (-73.1175877, -36.7906524))",tertiary,road
"((-73.1175877, -36.7906524), (-73.117307, -36.7907822))",tertiary,road
"((-52.9627835, -30.2276405), (-52.9630546, -30.2275938))",unclassified,road
"((-52.9630546, -30.2275938), (-52.9641366, -30.2274072))",unclassified,road
"((-52.9641366, -30.2274072), (-52.9645216, -30.227177))",unclassified,road
"((-52.9645216, -30.227177), (-52.9673272, -30.225221))",unclassified,road
"((-52.9673272, -30.225221), (-52.9674162, -30.2251942))",unclassified,road
"((-50.8694941, -25.6824982), (-50.8694619, -25.6821768))",unclassified,road
"((-50.8694619, -25.6821768), (-50.8693922, -25.6815338))",unclassified,road
"((-70.7584335, -34.2096508), (-70.7580043, -34.2095842))",tertiary,road
"((-70.7580043, -34.2095842), (-70.7579453, -34.2096153))",tertiary,road
"((-70.7579453, -34.2096153), (-70.75794, -34.2100589))",tertiary,road
"((-70.75794, -34.2100589), (-70.7578863, -34.2101122))",tertiary,road
"((-70.7578863, -34.2101122), (-70.7576825, -34.2102009))",tertiary,road
"((-60.93166, -31.6805688), (-60.9306091, -31.6765462))",unclassified,road
"((-55.8330292, -34.3956153), (-55.8330882, -34.3952145))",service,road
"((-55.8330882, -34.3952145), (-55.8330962, -34.3951647))",service,road
"((-55.8330962, -34.3951647), (-55.8331066, -34.395141))",service,road
"((-55.8331066, -34.395141), (-55.8331245, -34.3951206))",service,road
"((-55.8331245, -34.3951206), (-55.8331485, -34.395105))",service,road
"((-53.3914316, -24.3869457), (-53.3914346, -24.3869257))",primary,road
"((-53.3914346, -24.3869257), (-53.3914579, -24.3868581))",primary,road
"((-53.3914579, -24.3868581), (-53.3914695, -24.3868369))",primary,road
"((-52.9973039, -26.2102138), (-52.9971188, -26.2101043))",service,road
