geometry,class,subtype
"((-73.2408129, 8.2090111), (-73.2408547, 8.2089652))",tertiary,road
"((-74.1830632, 11.2318776), (-74.1834721, 11.2317044))",secondary,road
"((-80.1687839, 25.9136805), (-80.1687907, 25.913846))",service,road
"((-81.8465578, 26.6163673), (-81.8471698, 26.6163571))",service,road
"((-66.4008247, 18.1650261), (-66.4012548, 18.1649045))",service,road
"((-72.3717362, 18.4934021), (-72.3716524, 18.4934907))",service,road
"((-72.3282203, 18.6048683), (-72.3284481, 18.6049874))",unclassified,road
"((-80.2112869, 25.9038892), (-80.2114868, 25.9038795))",service,road
"((-70.9388149, 19.6199706), (-70.9388589, 19.6199548))",unclassified,road
"((-70.1100468, 4.6206886), (-70.1106316, 4.6209132))",service,road
"((-82.700254, 27.8925424), (-82.700255, 27.8934937))",primary,road
"((-68.655428, 18.6655138), (-68.6552489, 18.6659121))",secondary,road
"((-82.3186933, 27.8971831), (-82.3189635, 27.8971825))",service,road
"((-81.5491711, 30.7726406), (-81.5492313, 30.7724993))",service,road
"((-86.992245, 35.9936556), (-86.9921955, 35.993607))",service,road
"((-84.1612223, 31.5450365), (-84.1610526, 31.5450289))",service,road
"((-81.3209035, 29.8922158), (-81.3209317, 29.8925173))",tertiary,road
"((-86.5553421, 38.8272295), (-86.5552077, 38.8272428))",service,road
"((-87.815756, 36.867326), (-87.816181, 36.867322))",secondary,road
"((-88.03722, 31.454666), (-88.037564, 31.454566))",service,road
"((-86.7701053, 35.8937772), (-86.7702193, 35.8936088))",service,road
"((-80.8381946, 28.5576979), (-80.8382045, 28.5570986))",service,road
"((-80.4705869, 33.3629866), (-80.4708346, 33.3632104))",primary,road
"((-86.9604489, 33.790744), (-86.960318, 33.7908125))",service,road
"((-84.35292, 33.6200817), (-84.3528517, 33.6200593))",service,road
"((-81.9511687, 28.8612102), (-81.9512412, 28.8612565))",tertiary,road
"((-84.3554395, 33.5722074), (-84.355486, 33.5724291))",tertiary,road
"((-86.4591682, 36.6466931), (-86.4591409, 36.6469797))",service,road
"((-85.7923219, 38.4020793), (-85.7925219, 38.402312))",service,road
"((-84.7244973, 34.5299576), (-84.7241271, 34.530294))",service,road
"((-86.604081, 37.059066), (-86.604175, 37.059073))",primary,road
"((-84.1213695, 33.3847721), (-84.1214134, 33.3846479))",service,road
"((-86.846744, 34.236821), (-86.846738, 34.237556))",tertiary,road
"((-84.7865924, 34.1744625), (-84.7865845, 34.1745781))",primary,road
"((-81.7168788, 28.6942656), (-81.71697, 28.6942291))",service,road
"((-83.9511355, 30.8542946), (-83.9512283, 30.8544406))",service,road
"((-88.101658, 32.877777), (-88.101412, 32.877691))",service,road
"((-81.234148, 32.071367), (-81.2340917, 32.0713325))",service,road
"((-79.8838115, 33.0042739), (-79.8839573, 33.0038041))",service,road
"((-84.9267151, 34.1014902), (-84.9267162, 34.1014968))",tertiary,road
"((-86.0388366, 37.7567599), (-86.0387614, 37.7567334))",service,road
"((-86.6618212, 35.9011389), (-86.6617539, 35.9011974))",service,road
"((-84.6721154, 33.9900826), (-84.6721952, 33.9901196))",service,road
"((-89.9649203, 34.7863941), (-89.964716, 34.7862914))",service,road
"((-86.8183873, 36.0867653), (-86.8178228, 36.0867104))",service,road
"((-89.8812862, 35.0572979), (-89.8792786, 35.0572561))",tertiary,road
"((-89.907126, 36.831393), (-89.912893, 36.831543))",unclassified,road
"((-87.3205628, 33.323454), (-87.3202864, 33.3234484))",service,road
"((-79.9670426, 32.7402127), (-79.9666628, 32.7403116))",service,road
"((-86.070051, 36.113317), (-86.0718694, 36.1131052))",service,road
"((-84.4981852, 39.0263881), (-84.4982093, 39.026359))",service,road
"((-87.5750343, 33.4126258), (-87.5749551, 33.4128562))",service,road
"((-84.466067, 39.0779559), (-84.4661013, 39.0781067))",service,road
"((-86.5129319, 36.1721935), (-86.5129577, 36.1725687))",secondary,road
"((-89.523805, 34.3335529), (-89.5239126, 34.3334849))",service,road
"((-81.0449463, 31.9175235), (-81.0449109, 31.9175433))",service,road
"((-86.8155588, 35.9671763), (-86.8156592, 35.9667284))",service,road
"((-81.2195997, 28.9703836), (-81.2196019, 28.9705721))",service,road
"((-86.8636104, 35.8065469), (-86.8633299, 35.8078651))",service,road
"((-87.2015023, 36.0015225), (-87.2004399, 36.0018218))",service,road
"((-86.80622, 38.722815), (-86.806184, 38.722875))",secondary,road
"((-86.4619655, 31.7985031), (-86.4620743, 31.7985127))",service,road
"((-87.458696, 38.02754), (-87.459354, 38.027537))",tertiary,road
"((-86.2905597, 36.242496), (-86.2904398, 36.2423757))",service,road
"((-86.781384, 33.466855), (-86.7806526, 33.4671251))",secondary,road
"((-87.0519642, 35.5230183), (-87.051991, 35.5229965))",service,road
"((-86.859069, 38.2017), (-86.859028, 38.201486))",service,road
"((-83.2804746, 30.7984912), (-83.2802923, 30.7985212))",,rail
"((-86.1782692, 35.8980574), (-86.1782292, 35.8979205))",service,road
"((-82.8624423, 29.6163065), (-82.8623887, 29.6158715))",service,road
"((-87.7254255, 38.1052662), (-87.7253794, 38.1053495))",service,road
"((-86.6049769, 36.1750816), (-86.6051056, 36.1750854))",service,road
"((-84.7280431, 33.1663628), (-84.7275888, 33.166289))",service,road
"((-84.8170496, 33.4789459), (-84.8172054, 33.4790758))",service,road
"((-89.9285323, 35.755963), (-89.930341, 35.7559844))",tertiary,road
"((-84.1652875, 33.8855581), (-84.1652392, 33.8854902))",service,road
"((-84.5113172, 34.1488097), (-84.511418, 34.1487569))",service,road
"((-89.3881963, 38.6832928), (-89.3881867, 38.6831043))",service,road
"((-84.6772111, 38.9535501), (-84.6772106, 38.9534921))",service,road
"((-81.3664999, 28.5727201), (-81.3657667, 28.5726645))",service,road
"((-84.0940503, 33.4552478), (-84.0942899, 33.4552987))",service,road
"((-87.099925, 33.862989), (-87.100086, 33.863052))",tertiary,road
"((-86.5954286, 30.3994134), (-86.5956236, 30.3994193))",service,road
"((-84.7948108, 31.8820401), (-84.795023, 31.8820967))",unclassified,road
"((-84.1364426, 33.9013446), (-84.1362968, 33.901112))",service,road
"((-84.241744, 33.6823648), (-84.2419521, 33.6822857))",service,road
"((-87.4532189, 36.6145428), (-87.45336, 36.614501))",service,road
"((-86.5791723, 36.0183465), (-86.5841815, 36.0197287))",,rail
"((-83.4258264, 31.4984927), (-83.4258101, 31.5000884))",tertiary,road
"((-78.9045158, 33.7012712), (-78.9045305, 33.7013028))",service,road
"((-85.806148, 39.062115), (-85.80611, 39.06204))",service,road
"((-87.3465134, 30.5851845), (-87.3465851, 30.5852283))",service,road
"((-84.6742857, 33.4072076), (-84.6741987, 33.4073432))",service,road
"((-84.9979794, 34.1012268), (-84.997997, 34.1012958))",tertiary,road
"((-85.562746, 34.211111), (-85.562778, 34.211256))",service,road
"((-89.9069655, 35.0774819), (-89.9066403, 35.0770271))",motorway,road
"((-88.9525795, 32.3215518), (-88.952548, 32.321668))",service,road
"((-81.7453301, 28.5478604), (-81.745339, 28.5475778))",service,road
"((-86.8593142, 33.0257202), (-86.8591199, 33.0258689))",service,road
"((-84.4185979, 33.7573755), (-84.4186006, 33.7573995))",service,road
"((-79.8459083, 32.8267136), (-79.8461033, 32.8267055))",service,road
"((-83.660575, 32.6054812), (-83.6605057, 32.6054388))",tertiary,road
"((-85.0188848, 35.4444008), (-85.0194267, 35.4437303))",secondary,road
"((-81.3552957, 28.7852299), (-81.3554023, 28.7851936))",service,road
"((-83.4498816, 31.946223), (-83.4512242, 31.946232))",secondary,road
"((-87.975662, 38.113197), (-87.97565, 38.113304))",service,road
"((-81.83207, 32.487099), (-81.831782, 32.487201))",service,road
"((-81.5050731, 28.546836), (-81.505189, 28.5467652))",motorway,road
"((-87.0681782, 36.3679107), (-87.0681532, 36.3681489))",service,road
"((-84.3824841, 33.3140703), (-84.3824967, 33.3136342))",service,road
"((-84.5728362, 34.1823706), (-84.5726633, 34.1824375))",service,road
"((-84.895501, 37.711927), (-84.895449, 37.712069))",primary,road
"((-84.3753822, 38.2661714), (-84.3753476, 38.2662997))",service,road
"((-87.7258383, 38.0551145), (-87.7255924, 38.0552121))",service,road
"((-85.2812808, 34.7103975), (-85.2812083, 34.7105953))",service,road
"((-84.3322426, 33.5661268), (-84.3321756, 33.5661851))",service,road
"((-85.0356916, 35.0407766), (-85.0357141, 35.0408019))",service,road
"((-83.7293117, 32.4696239), (-83.7289532, 32.4695789))",service,road
"((-85.773833, 35.6946871), (-85.7736951, 35.6947707))",tertiary,road
"((-89.527977, 37.037914), (-89.528271, 37.038316))",secondary,road
"((-86.8051892, 33.376271), (-86.804934, 33.376376))",secondary,road
"((-87.278536, 38.4967545), (-87.2785317, 38.49681))",service,road
"((-85.3513465, 38.1411627), (-85.3512399, 38.1415828))",service,road
"((-80.0224588, 32.8014617), (-80.022133, 32.8017434))",service,road
"((-84.7350753, 33.7250329), (-84.7351581, 33.7250808))",secondary,road
"((-80.1987841, 32.9463109), (-80.198953, 32.946074))",service,road
"((-85.9071225, 30.231092), (-85.90773, 30.2313936))",primary,road
"((-84.8667453, 39.0956583), (-84.8665757, 39.0957542))",service,road
"((-80.9537622, 32.0126591), (-80.9537555, 32.0126522))",service,road
"((-87.5951007, 30.2681943), (-87.5949241, 30.2682584))",service,road
"((-84.498382, 38.85264), (-84.498444, 38.852643))",service,road
"((-86.4798572, 36.193656), (-86.4798513, 36.1936868))",tertiary,road
"((-86.6754964, 36.15137), (-86.6755084, 36.1512781))",service,road
"((-84.7807317, 33.9892195), (-84.780566, 33.989004))",service,road
"((-85.488628, 38.384491), (-85.488451, 38.384524))",secondary,road
"((-83.9513776, 30.8536164), (-83.9510046, 30.8538341))",service,road
"((-84.7454931, 33.4923604), (-84.7455844, 33.4925917))",service,road
"((-82.4763728, 28.1366157), (-82.4762323, 28.1366157))",service,road
"((-80.538217, 33.233249), (-80.537851, 33.234068))",primary,road
"((-84.3514649, 31.8647993), (-84.3547512, 31.8647949))",service,road
"((-88.1093833, 36.0504847), (-88.1099986, 36.0505402))",unclassified,road
"((-84.2188125, 30.4064268), (-84.2187411, 30.4064249))",service,road
"((-80.9753955, 32.0018034), (-80.9753718, 32.001755))",service,road
"((-81.2706589, 32.1742914), (-81.2723836, 32.1743809))",service,road
"((-85.6272568, 36.1054343), (-85.6271361, 36.1054083))",service,road
"((-81.4028105, 28.4497416), (-81.4026467, 28.4497512))",service,road
"((-82.8687724, 30.4331426), (-82.8718651, 30.4361712))",primary,road
"((-81.3582475, 29.916346), (-81.3594393, 29.9163329))",primary,road
"((-81.4225481, 28.658894), (-81.4224607, 28.6589451))",service,road
"((-85.149738, 31.912684), (-85.150002, 31.912974))",primary,road
"((-82.428558, 28.2335095), (-82.4285608, 28.2334683))",service,road
"((-80.9847173, 32.0010314), (-80.9848074, 32.0010983))",service,road
"((-82.2253638, 29.1091627), (-82.2254638, 29.1091295))",service,road
"((-88.7666917, 32.6328989), (-88.7680401, 32.6328085))",service,road
"((-82.7608688, 30.0535471), (-82.7599495, 30.0536113))",service,road
"((-82.1259731, 33.5432391), (-82.1260042, 33.5434174))",service,road
"((-89.9624958, 38.5240429), (-89.9622005, 38.5237812))",service,road
"((-79.8648801, 32.8059876), (-79.8648758, 32.8059762))",service,road
"((-81.7416368, 30.1010548), (-81.7415644, 30.1010877))",service,road
"((-87.8241916, 33.9310873), (-87.8238094, 33.931098))",service,road
"((-84.569018, 38.8781975), (-84.5689562, 38.8781975))",service,road
"((-82.159937, 28.2750938), (-82.159937, 28.2751081))",service,road
"((-84.8769496, 34.2115955), (-84.876925, 34.2117232))",service,road
"((-81.4834251, 30.5133658), (-81.4835102, 30.5134267))",service,road
"((-81.0770607, 28.9549812), (-81.0770226, 28.9551222))",service,road
"((-88.2701724, 37.6917371), (-88.2701187, 37.6918454))",service,road
"((-85.8387353, 38.3044045), (-85.8391386, 38.3048091))",service,road
"((-86.7934919, 33.2780542), (-86.7934622, 33.2780536))",service,road
"((-80.2812757, 32.8390088), (-80.2818152, 32.8402354))",secondary,road
"((-81.7772626, 28.5538761), (-81.7770623, 28.5543041))",service,road
"((-89.5462067, 31.4105385), (-89.5460059, 31.4105509))",service,road
"((-88.139196, 38.060982), (-88.13978, 38.061001))",unclassified,road
"((-83.2675827, 30.8282736), (-83.2668638, 30.8285362))",service,road
"((-87.560802, 38.062325), (-87.560877, 38.0626))",tertiary,road
"((-81.3939485, 28.7154915), (-81.3932893, 28.7154743))",service,road
"((-82.6066407, 29.9990076), (-82.6063876, 29.9991097))",service,road
"((-85.2097761, 38.032354), (-85.2098254, 38.0324655))",unclassified,road
"((-87.5649904, 33.2328439), (-87.5652246, 33.2327463))",secondary,road
"((-86.696167, 33.731384), (-86.696539, 33.730722))",service,road
"((-82.3665748, 29.597458), (-82.3665011, 29.5976165))",service,road
"((-84.658975, 37.070263), (-84.659076, 37.070362))",tertiary,road
"((-88.776887, 35.9719565), (-88.7768741, 35.9721097))",service,road
"((-88.804174, 35.04424), (-88.804369, 35.044721))",tertiary,road
"((-85.2591346, 34.948141), (-85.2591324, 34.9481751))",service,road
"((-87.8250578, 30.8076296), (-87.8250389, 30.8072106))",service,road
"((-80.0235868, 32.8793749), (-80.0235269, 32.8793441))",service,road
"((-89.6843264, 37.1550463), (-89.6843273, 37.154764))",service,road
"((-84.2764823, 33.5425973), (-84.2784541, 33.5425985))",service,road
"((-84.7474497, 33.7771847), (-84.7474519, 33.7766213))",primary,road
"((-84.6307495, 34.0234088), (-84.6307433, 34.0233927))",service,road
"((-89.886739, 37.6186575), (-89.8866089, 37.6187685))",tertiary,road
"((-84.5571467, 33.935418), (-84.5571685, 33.9353693))",service,road
"((-81.0712026, 29.1946403), (-81.0703241, 29.1949873))",service,road
"((-84.4544388, 33.4452415), (-84.4544258, 33.4453668))",service,road
"((-82.2861104, 28.3148937), (-82.2864631, 28.3148122))",tertiary,road
"((-82.7657965, 28.1949462), (-82.7657945, 28.1946845))",service,road
"((-81.1508177, 32.0379611), (-81.1507629, 32.0380886))",service,road
"((-81.5258722, 30.248938), (-81.5258674, 30.248204))",service,road
"((-86.2303935, 36.4498343), (-86.2306019, 36.4498536))",service,road
"((-87.328388, 37.23675), (-87.32838, 37.236606))",service,road
"((-86.2380745, 36.256524), (-86.2373421, 36.2569629))",service,road
"((-87.2459065, 36.561228), (-87.2454006, 36.5614492))",service,road
"((-81.9630521, 33.3329478), (-81.9632211, 33.3331563))",primary,road
"((-85.7548676, 37.9357177), (-85.7552069, 37.9359407))",service,road
"((-89.5496101, 34.3617135), (-89.5497703, 34.3616929))",service,road
"((-86.136756, 36.4638503), (-86.1366862, 36.4638761))",service,road
"((-88.7736102, 34.2457128), (-88.7736174, 34.2456635))",service,road
"((-82.3048742, 28.4979326), (-82.3051038, 28.4979246))",service,road
"((-84.3207724, 33.6060169), (-84.3207993, 33.6062102))",service,road
"((-86.513864, 36.3517219), (-86.5126902, 36.3509895))",service,road
"((-81.3239415, 29.0270272), (-81.3239606, 29.0277788))",service,road
"((-87.5712745, 37.975544), (-87.570675, 37.9758192))",service,road
"((-86.863105, 38.345628), (-86.863227, 38.345711))",unclassified,road
"((-84.335651, 32.9210898), (-84.3349039, 32.9209722))",service,road
"((-85.8489449, 37.7432018), (-85.8488433, 37.7432141))",service,road
"((-86.3345164, 35.5268439), (-86.3345111, 35.5269375))",service,road
"((-84.7418335, 37.4363634), (-84.7418043, 37.4362533))",service,road
"((-87.2407874, 36.4701289), (-87.2405904, 36.4701637))",service,road
"((-84.8957007, 33.7085066), (-84.8955485, 33.7085577))",service,road
"((-89.7790879, 35.1742093), (-89.7790812, 35.1742342))",service,road
"((-87.5041026, 33.1640253), (-87.5039779, 33.1640394))",service,road
"((-83.873804, 32.554935), (-83.873366, 32.554941))",service,road
"((-81.7220487, 30.1828571), (-81.7220234, 30.1821018))",tertiary,road
"((-84.5222855, 33.8361557), (-84.5223391, 33.8362036))",service,road
"((-88.098626, 33.090608), (-88.098639, 33.09078))",service,road
"((-81.911732, 33.626133), (-81.911846, 33.626224))",tertiary,road
"((-86.9270967, 33.1758975), (-86.9271455, 33.176026))",service,road
"((-84.586179, 33.885603), (-84.585538, 33.886412))",primary,road
"((-86.3862027, 35.8379505), (-86.3859137, 35.8381556))",service,road
"((-81.5862791, 29.6968454), (-81.5873842, 29.6971857))",tertiary,road
"((-87.4962047, 38.7176802), (-87.4961209, 38.7177985))",service,road
"((-84.3433866, 33.6085342), (-84.3437682, 33.6082643))",service,road
"((-83.6994176, 30.5566518), (-83.6992245, 30.5579267))",service,road
"((-84.363445, 33.517826), (-84.3636536, 33.5177731))",tertiary,road
"((-82.1065423, 30.2615624), (-82.1037957, 30.2619924))",motorway,road
"((-86.195146, 38.674151), (-86.194732, 38.674398))",service,road
"((-86.5182114, 36.1964735), (-86.5182382, 36.1964384))",service,road
"((-82.3362576, 29.6447661), (-82.3362576, 29.6448496))",service,road
"((-84.4337865, 39.150707), (-84.4335902, 39.1508091))",secondary,road
"((-85.3061409, 35.1232083), (-85.3055698, 35.1232072))",service,road
"((-87.793222, 30.741082), (-87.793245, 30.741376))",primary,road
"((-84.3631355, 33.8508319), (-84.3630456, 33.850809))",service,road
"((-89.6861706, 38.7392226), (-89.6860019, 38.7392509))",secondary,road
"((-88.8369553, 39.1552196), (-88.8369675, 39.1549614))",service,road
"((-86.44152, 34.641), (-86.44182, 34.641133))",service,road
"((-88.0279422, 30.8767314), (-88.0277521, 30.876734))",service,road
"((-85.4304112, 37.719592), (-85.4303636, 37.7196229))",service,road
"((-85.8197214, 30.1890138), (-85.8196314, 30.1890144))",service,road
"((-83.5285414, 30.0658417), (-83.5291252, 30.0658879))",,rail
"((-86.7572502, 39.2870761), (-86.7570982, 39.2870758))",primary,road
"((-87.4799988, 38.7399079), (-87.4799385, 38.7399644))",service,road
"((-84.7684633, 33.3965188), (-84.768472, 33.3965405))",tertiary,road
"((-85.2826869, 33.6910108), (-85.2811995, 33.691452))",service,road
"((-84.7829602, 39.2137812), (-84.7818456, 39.2137956))",service,road
"((-83.24047, 33.483407), (-83.2400826, 33.482757))",secondary,road
"((-86.8212884, 35.9645872), (-86.8211537, 35.9644692))",service,road
"((-89.8952222, 37.7029242), (-89.8948059, 37.7037882))",primary,road
"((-85.5959454, 35.1145322), (-85.5959588, 35.1144916))",service,road
"((-86.8614342, 36.13317), (-86.8614109, 36.1331527))",service,road
"((-85.0614259, 34.8470708), (-85.0614222, 34.8468742))",service,road
"((-84.0021408, 33.1728815), (-84.0020892, 33.1729397))",service,road
"((-80.1319716, 33.3917934), (-80.1316212, 33.3926507))",secondary,road
"((-89.7436809, 34.992394), (-89.7436827, 34.9919782))",service,road
"((-87.166916, 35.0650604), (-87.1668184, 35.0651616))",service,road
"((-88.463181, 38.704677), (-88.462361, 38.704914))",service,road
"((-84.2383904, 33.1147363), (-84.2385089, 33.1147153))",service,road
"((-82.033113, 29.2189491), (-82.0336358, 29.2188943))",primary,road
"((-85.0348186, 34.0088926), (-85.0344172, 34.0088648))",service,road
"((-79.8084764, 32.7769111), (-79.8084827, 32.7770343))",service,road
"((-84.2340002, 30.4783373), (-84.2339955, 30.4784936))",secondary,road
"((-81.7429103, 33.5035009), (-81.742701, 33.503475))",secondary,road
"((-85.0694718, 36.9842165), (-85.069165, 36.9842456))",service,road
"((-81.9463096, 28.5790137), (-81.9463212, 28.5787904))",service,road
"((-82.1956247, 28.9936533), (-82.1960558, 28.9937291))",service,road
"((-86.6564947, 36.4693353), (-86.6563846, 36.4693535))",service,road
"((-84.8160204, 37.9432828), (-84.8155805, 37.9431554))",service,road
"((-86.0202875, 36.5207169), (-86.0201228, 36.5206983))",service,road
"((-87.159127, 32.928812), (-87.159112, 32.928672))",unclassified,road
"((-84.1974245, 33.1840068), (-84.1973241, 33.1839812))",service,road
"((-89.918282, 37.099282), (-89.918258, 37.099235))",unclassified,road
"((-84.2876483, 30.4487954), (-84.2876489, 30.4488665))",service,road
"((-85.1240616, 32.9160126), (-85.1242632, 32.9157808))",service,road
"((-85.0378479, 32.9472981), (-85.0378722, 32.948159))",service,road
"((-86.0843181, 38.6143834), (-86.0837073, 38.6136893))",service,road
"((-86.2077189, 36.5171201), (-86.2076383, 36.5171058))",service,road
"((-81.4848326, 31.2670115), (-81.484779, 31.2670998))",unclassified,road
"((-82.3617497, 29.6280235), (-82.361747, 29.6284161))",service,road
"((-87.3666165, 36.5124246), (-87.3672906, 36.5124094))",service,road
"((-81.6401645, 30.2028876), (-81.640223, 30.2029337))",service,road
"((-82.4772192, 29.334749), (-82.4771934, 29.3353282))",service,road
"((-77.3531148, 25.0062975), (-77.3535883, 25.0061311))",tertiary,road
"((-84.4682027, 34.0867145), (-84.4682331, 34.0866278))",unclassified,road
"((-80.5994907, 28.2170826), (-80.5994294, 28.2169825))",service,road
"((-87.709423, 38.188508), (-87.710454, 38.188498))",unclassified,road
"((-81.5712099, 28.3139891), (-81.5714748, 28.3140528))",unclassified,road
"((-85.54779, 31.557653), (-85.546961, 31.557705))",secondary,road
"((-85.6075649, 36.1673899), (-85.6075139, 36.1674288))",service,road
"((-89.8494208, 37.7998278), (-89.849427, 37.8007428))",primary,road
"((-80.7260124, 28.3382456), (-80.7264931, 28.3382291))",service,road
"((-84.3213169, 33.7882356), (-84.3212385, 33.7882484))",service,road
"((-85.021339, 39.319338), (-85.0213224, 39.3192218))",service,road
"((-80.8329189, 28.547778), (-80.833536, 28.5474675))",service,road
"((-80.1402225, 32.9351252), (-80.1399364, 32.9354572))",service,road
"((-89.8521886, 35.2695744), (-89.8522272, 35.2694834))",service,road
"((-82.4582103, 28.1883608), (-82.4582346, 28.1884018))",service,road
"((-80.610954, 28.398567), (-80.6108109, 28.3986613))",unclassified,road
"((-84.45335, 38.009257), (-84.453492, 38.009387))",unclassified,road
"((-86.1387531, 38.2189961), (-86.1378198, 38.2188872))",primary,road
"((-89.7905327, 35.1701924), (-89.7907917, 35.1701885))",service,road
"((-86.571728, 34.862715), (-86.57138, 34.862748))",service,road
"((-86.3392138, 39.2696752), (-86.3380639, 39.269526))",unclassified,road
"((-89.894531, 35.1486774), (-89.8945346, 35.1489008))",service,road
"((-85.5768912, 38.066389), (-85.5776067, 38.065863))",service,road
"((-85.329634, 37.150377), (-85.330396, 37.151152))",secondary,road
"((-89.873757, 34.763438), (-89.874245, 34.763087))",service,road
"((-85.743208, 39.123597), (-85.742843, 39.1236))",service,road
"((-86.7218006, 36.4169793), (-86.7216899, 36.4169066))",service,road
"((-87.1937883, 38.6784274), (-87.1935258, 38.6785847))",service,road
"((-82.1038429, 29.7499527), (-82.1040401, 29.7499556))",service,road
"((-88.5416431, 30.9829045), (-88.5416967, 30.983016))",secondary,road
"((-82.4996433, 28.9705062), (-82.4992412, 28.9702387))",tertiary,road
"((-87.0000389, 33.7479449), (-86.9999829, 33.7480414))",service,road
"((-87.2542088, 30.5826027), (-87.2541835, 30.5826192))",service,road
"((-85.4571828, 38.0512254), (-85.4570243, 38.0517029))",service,road
"((-84.7974702, 39.2566303), (-84.7963546, 39.2566332))",service,road
"((-87.0345, 38.72753), (-87.034327, 38.727913))",service,road
"((-86.4029951, 35.589733), (-86.4030609, 35.5898797))",service,road
"((-84.8213796, 38.1631795), (-84.8214554, 38.1630703))",service,road
"((-81.5273262, 30.0343036), (-81.5273667, 30.0344269))",primary,road
"((-85.3788903, 38.3550194), (-85.3789343, 38.3551496))",service,road
"((-79.8881375, 32.7942162), (-79.8879345, 32.7942485))",service,road
"((-84.543174, 38.4478109), (-84.5430719, 38.4477243))",service,road
"((-84.9179339, 29.6388527), (-84.9179871, 29.6388349))",service,road
"((-88.5805336, 30.5773601), (-88.5806263, 30.5772316))",service,road
"((-86.853159, 36.1042681), (-86.853126, 36.1042381))",service,road
"((-84.3897972, 30.276263), (-84.3897702, 30.2761547))",service,road
"((-86.08424, 31.902356), (-86.083917, 31.902883))",unclassified,road
"((-84.3630715, 33.5210881), (-84.3626694, 33.5210727))",service,road
"((-86.6948962, 36.3028145), (-86.6949125, 36.3028228))",service,road
"((-86.875761, 34.976543), (-86.875652, 34.976552))",service,road
"((-87.3949516, 31.0852875), (-87.3949573, 31.0851174))",service,road
"((-84.2708729, 33.7025832), (-84.2709362, 33.7026701))",service,road
"((-84.814095, 37.368435), (-84.813941, 37.368592))",secondary,road
"((-84.654387, 33.9101842), (-84.6548349, 33.9100198))",service,road
"((-80.8574364, 28.7800667), (-80.8574621, 28.7802416))",service,road
"((-86.5638442, 32.5006638), (-86.563847, 32.5006236))",service,road
"((-88.109087, 42.237042), (-88.108919, 42.236987))",secondary,road
"((-83.9236996, 33.8409541), (-83.923649, 33.840841))",tertiary,road
"((-88.0504788, 42.166774), (-88.0505301, 42.1669461))",service,road
"((-85.6038861, 41.1778258), (-85.603871, 41.1778829))",service,road
"((-84.3945451, 39.7762071), (-84.394131, 39.7761608))",service,road
"((-81.1137241, 35.0149683), (-81.1136874, 35.0148644))",service,road
"((-86.945324, 40.022792), (-86.945231, 40.022554))",service,road
"((-79.5065534, 36.0689028), (-79.5073778, 36.0687739))",service,road
"((-80.488648, 35.456214), (-80.488364, 35.454871))",service,road
"((-84.0818053, 39.355518), (-84.0816469, 39.3556347))",service,road
"((-83.2513103, 35.3698671), (-83.2517222, 35.3697971))",secondary,road
"((-86.661866, 39.697193), (-86.661601, 39.697396))",secondary,road
"((-81.3474946, 35.2596084), (-81.3476109, 35.2596021))",service,road
"((-86.8324559, 40.4193911), (-86.8324559, 40.4195469))",service,road
"((-82.913067, 38.625975), (-82.913776, 38.625397))",primary,road
"((-88.2140237, 41.7742047), (-88.2134881, 41.773935))",service,road
"((-87.9776928, 41.9523205), (-87.9780075, 41.9522015))",service,road
"((-84.1450057, 36.1611407), (-84.1446717, 36.161275))",service,road
"((-84.3603247, 39.1267772), (-84.3607476, 39.1269618))",service,road
"((-87.6297549, 41.3402293), (-87.6296438, 41.3402629))",service,road
"((-83.3780861, 33.916259), (-83.3780902, 33.9161927))",service,road
"((-82.7020459, 35.7561793), (-82.7020362, 35.7561407))",service,road
"((-88.2582046, 41.9574043), (-88.2582336, 41.9573521))",service,road
"((-86.0105449, 39.9961863), (-86.0105896, 39.996114))",service,road
"((-86.1578135, 39.8871033), (-86.1578129, 39.8874092))",primary,road
"((-80.9362363, 36.204401), (-80.9365467, 36.2051628))",service,road
"((-79.2907731, 37.9068529), (-79.2907668, 37.9069598))",service,road
"((-82.8501708, 36.1725812), (-82.85018, 36.1727854))",primary,road
"((-87.8079325, 41.9681179), (-87.8079157, 41.9677988))",service,road
"((-84.1951626, 36.3279056), (-84.1949129, 36.3280476))",service,road
"((-86.006455, 39.8562378), (-86.0064879, 39.8561515))",service,road
"((-82.7198531, 34.6544988), (-82.7195996, 34.6545039))",service,road
"((-80.1004372, 35.3395717), (-80.1003614, 35.339519))",service,road
"((-89.4855824, 43.4940965), (-89.4856986, 43.4939631))",motorway,road
"((-81.5723048, 35.4427709), (-81.5723719, 35.4429949))",secondary,road
"((-89.7800758, 42.6069006), (-89.7801044, 42.6069298))",service,road
"((-86.1697214, 39.8207897), (-86.1699038, 39.8206843))",service,road
"((-82.171421, 35.6170369), (-82.1714098, 35.6170691))",service,road
"((-88.2704385, 41.9491383), (-88.2705299, 41.9490109))",service,road
"((-79.8242871, 35.6898834), (-79.8239503, 35.6894713))",service,road
"((-88.0682034, 41.6843126), (-88.0681068, 41.6842865))",motorway,road
"((-81.027524, 35.003454), (-81.028995, 35.003678))",service,road
"((-80.7849649, 35.1405272), (-80.78431, 35.1390032))",primary,road
"((-86.942827, 39.7408729), (-86.942486, 39.7408681))",service,road
"((-87.8592753, 41.9850835), (-87.8592728, 41.9851017))",service,road
"((-85.6333897, 40.1420071), (-85.6333941, 40.1412808))",service,road
