geometry,class,subtype
"((-65.1975157, -26.8339869), (-65.1978651, -26.8353867))",primary,road
"((-73.0147961, -38.8723791), (-73.0147653, -38.8724991))",unclassified,road
"((-58.6534474, -34.4443572), (-58.6533767, -34.4442984))",tertiary,road
"((-70.7528213, -34.1632566), (-70.7529413, -34.163583))",service,road
"((-64.1860798, -31.3998919), (-64.1858857, -31.3994372))",primary,road
"((-72.8637973, -36.8566016), (-72.8637426, -36.8566359))",unclassified,road
"((-71.2258361, -32.8586099), (-71.2255105, -32.8586675))",secondary,road
"((-71.6027391, -33.9950989), (-71.6021705, -33.9954147))",service,road
"((-58.8882435, -34.5874226), (-58.8881792, -34.5873475))",service,road
"((-55.1524937, -27.5136002), (-55.1527853, -27.5128352))",secondary,road
"((-49.0139151, -28.4275432), (-49.0140311, -28.4277773))",primary,road
"((-62.7421796, -33.4634897), (-62.7420059, -33.4626512))",unclassified,road
"((-71.83837, -36.1399281), (-71.8383122, -36.1397268))",secondary,road
"((-56.5140945, -23.8184218), (-56.514129, -23.8186024))",service,road
"((-64.3272758, -31.2427758), (-64.3273133, -31.2428449))",unclassified,road
"((-58.7257421, -34.3449205), (-58.7252947, -34.3449697))",service,road
"((-50.9758837, -25.4688941), (-50.9764017, -25.4678707))",tertiary,road
"((-53.5022425, -28.2552703), (-53.5025334, -28.2548134))",unclassified,road
"((-51.3503162, -29.4852496), (-51.3503717, -29.4851478))",service,road
"((-53.0039672, -26.8261894), (-53.0040149, -26.8261137))",secondary,road
"((-49.3778508, -28.7376132), (-49.3792467, -28.7376664))",tertiary,road
"((-58.0780172, -32.3327575), (-58.0783638, -32.3328363))",service,road
"((-52.3389622, -26.9268785), (-52.3390415, -26.9271111))",service,road
"((-58.9758241, -36.060368), (-58.9757651, -36.0604281))",tertiary,road
"((-70.6292463, -33.2540977), (-70.6290861, -33.2543409))",tertiary,road
"((-73.0842143, -39.3223344), (-73.0841488, -39.3222934))",unclassified,road
"((-52.3829627, -31.7568383), (-52.3825671, -31.7568884))",primary,road
"((-71.3638679, -32.2876732), (-71.3644435, -32.2870862))",service,road
"((-70.6611496, -33.9736987), (-70.6610289, -33.97391))",service,road
"((-57.7206378, -34.0638834), (-57.7200968, -34.0643089))",service,road
"((-64.160331, -31.3762063), (-64.1604738, -31.3761885))",primary,road
"((-51.7685948, -27.9014622), (-51.7685687, -27.9014408))",unclassified,road
"((-61.5112386, -35.0931575), (-61.5069366, -35.0928382))",tertiary,road
"((-58.5868587, -34.5590501), (-58.5862711, -34.5575633))",primary,road
"((-72.6851724, -36.5639231), (-72.6850882, -36.5638582))",unclassified,road
"((-54.1503346, -31.3180903), (-54.1514343, -31.3176458))",unclassified,road
"((-71.223236, -32.8767849), (-71.2229853, -32.8767692))",secondary,road
"((-66.949377, -28.8044754), (-66.9495108, -28.8043065))",service,road
"((-49.7100335, -28.8018624), (-49.7099152, -28.801926))",tertiary,road
"((-51.2442835, -29.6792057), (-51.244078, -29.6792864))",service,road
"((-52.4037225, -26.8746373), (-52.4037265, -26.8746999))",tertiary,road
"((-72.6863755, -45.4015489), (-72.6864073, -45.4015214))",service,road
"((-51.3062912, -29.4795782), (-51.3061295, -29.4793579))",secondary,road
"((-52.2054876, -27.1471353), (-52.2057304, -27.1473811))",unclassified,road
"((-58.2032047, -34.835158), (-58.202936, -34.8352213))",service,road
"((-58.825698, -27.488464), (-58.8257805, -27.4890239))",secondary,road
"((-49.6344806, -29.1122548), (-49.6340873, -29.111421))",secondary,road
"((-71.3823877, -34.6392013), (-71.3823878, -34.639234))",primary,road
"((-61.3714811, -32.9064781), (-61.3845453, -32.889491))",unclassified,road
